date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-03,21.9,28.3,17.2,69,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-45
2022-01-04,22.6,28.8,17.7,68,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-44
2022-01-05,22.6,29.3,18.4,70,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-43
2022-01-06,18.8,20.3,15.8,89,4.7,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-42
2022-01-07,19.3,25.4,13.6,79,0.1,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-41
2022-01-08,17.9,22.8,13.1,70,0.1,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-40
2022-01-09,15.4,21.8,10.2,60,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-39
2022-01-10,15.6,22.6,10.5,58,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-38
2022-01-11,15.8,22.0,11.2,56,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-37
2022-01-12,15.2,21.8,10.2,60,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-36
2022-01-13,15.9,22.9,10.8,59,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-35
2022-01-14,16.2,24.1,10.8,59,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-34
2022-01-15,17.3,24.7,11.8,61,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-33
2022-01-16,18.6,26.0,13.2,62,0.0,Ahmedabad,Acute Diarrhoeal Disease,23.0216238,72.5797068,2022-02-17,-32
