date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-26,17.1,24.4,10.9,48,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-45
2022-01-27,17.1,24.9,10.4,48,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-44
2022-01-28,17.0,24.3,10.5,50,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-43
2022-01-29,17.7,26.4,8.6,52,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-42
2022-01-30,18.8,28.3,9.7,51,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-41
2022-01-31,20.0,29.6,11.8,46,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-40
2022-02-01,20.4,30.1,12.0,47,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-39
2022-02-02,21.6,30.5,13.1,49,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-38
2022-02-03,22.2,30.7,14.4,47,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-37
2022-02-04,19.9,26.4,14.8,47,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-36
2022-02-05,19.4,27.3,10.8,38,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-35
2022-02-06,20.6,29.6,12.1,40,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-34
2022-02-07,21.4,30.5,13.4,48,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-33
2022-02-08,23.3,31.8,15.3,51,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-32
2022-02-09,24.3,31.0,18.4,49,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-31
2022-02-10,22.8,29.4,16.6,42,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-30
2022-02-11,21.2,28.0,15.1,42,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-29
2022-02-12,20.9,29.0,13.8,41,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-28
2022-02-13,21.9,30.4,14.1,43,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-27
2022-02-14,24.0,32.0,16.2,39,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-26
2022-02-15,24.9,32.1,18.3,37,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-25
2022-02-16,24.5,30.2,19.8,43,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-24
2022-02-17,23.6,29.9,18.6,60,7.1,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-23
2022-02-18,24.6,31.2,18.8,61,0.4,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-22
2022-02-19,26.3,33.1,20.9,49,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-21
2022-02-20,25.2,32.6,19.2,48,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-20
2022-02-21,24.2,32.9,15.7,34,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-19
2022-02-22,25.1,34.5,15.3,33,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-18
2022-02-23,26.4,36.4,16.8,35,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-17
2022-02-24,27.4,34.9,19.7,35,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-16
2022-02-25,26.4,33.7,18.6,28,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-15
2022-02-26,27.0,35.4,19.0,33,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-14
2022-02-27,28.2,36.1,21.3,29,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-13
2022-02-28,27.9,35.3,20.3,31,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-12
2022-03-01,27.8,35.3,21.7,34,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-11
2022-03-02,27.7,35.1,20.8,33,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-10
2022-03-03,27.7,35.0,21.4,36,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-9
2022-03-04,27.4,34.2,20.1,41,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-8
2022-03-05,28.0,35.1,21.0,39,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-7
2022-03-06,28.4,35.5,21.4,34,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-6
2022-03-07,28.6,34.8,22.7,35,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-5
2022-03-08,27.5,34.1,22.3,42,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-4
2022-03-09,24.5,32.1,20.5,54,1.9,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-3
2022-03-10,26.2,34.4,17.6,48,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-2
2022-03-11,27.5,35.4,20.2,37,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,-1
2022-03-12,27.4,35.5,18.9,35,0.0,Akola,Chikungunya,20.76181225,77.19211567,2022-03-12,0
