date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-02,26.8,31.8,23.7,87,9.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-45
2022-04-03,27.0,32.7,24.1,86,14.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-44
2022-04-04,27.2,32.7,23.8,85,5.3,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-43
2022-04-05,26.8,30.9,23.9,85,5.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-42
2022-04-06,26.3,31.4,23.7,87,9.0,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-41
2022-04-07,27.3,32.0,22.8,84,0.8,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-40
2022-04-08,26.3,31.6,24.1,90,22.6,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-39
2022-04-09,25.7,31.1,23.0,91,24.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-38
2022-04-10,25.8,30.8,22.6,91,29.1,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-37
2022-04-11,26.1,30.9,23.6,90,14.2,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-36
2022-04-12,25.8,28.8,23.5,91,15.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-35
2022-04-13,25.6,30.4,23.7,92,16.1,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-34
2022-04-14,25.7,29.6,23.6,92,4.6,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-33
2022-04-15,27.1,31.6,23.4,87,2.8,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-32
2022-04-16,27.8,30.9,24.5,87,2.5,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-31
2022-04-17,26.4,30.8,23.1,89,10.3,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-30
2022-04-18,26.7,30.9,23.9,89,8.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-29
2022-04-19,26.2,30.6,23.2,90,13.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-28
2022-04-20,28.5,32.3,24.5,83,1.6,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-27
2022-04-21,28.3,32.5,25.7,86,1.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-26
2022-04-22,27.2,31.4,24.6,87,6.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-25
2022-04-23,26.8,30.5,24.5,88,1.6,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-24
2022-04-24,27.7,31.9,24.3,86,2.8,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-23
2022-04-25,28.0,32.1,25.2,85,7.5,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-22
2022-04-26,28.6,32.6,25.4,84,1.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-21
2022-04-27,29.1,34.1,26.1,82,1.1,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-20
2022-04-28,27.8,32.4,24.6,85,9.1,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-19
2022-04-29,27.3,32.8,23.9,86,9.6,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-18
2022-04-30,28.0,31.7,24.6,83,0.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-17
2022-05-01,27.1,30.3,24.4,87,12.2,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-16
2022-05-02,27.3,31.0,24.1,88,13.2,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-15
2022-05-03,28.6,31.9,25.5,84,1.2,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-14
2022-05-04,27.9,32.1,25.8,89,10.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-13
2022-05-05,26.5,29.3,23.9,90,19.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-12
2022-05-06,26.8,30.0,24.1,88,17.1,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-11
2022-05-07,27.5,31.5,24.6,88,3.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-10
2022-05-08,28.1,30.7,25.3,87,2.3,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-9
2022-05-09,26.2,29.0,24.0,92,21.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-8
2022-05-10,25.5,30.1,23.4,92,23.4,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-7
2022-05-11,24.7,28.7,23.1,93,14.8,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-6
2022-05-12,25.7,30.1,22.4,89,1.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-5
2022-05-13,26.7,30.2,24.0,85,3.2,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-4
2022-05-14,25.6,27.8,24.0,93,48.0,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-3
2022-05-15,25.7,28.0,24.5,91,26.7,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-2
2022-05-16,25.4,28.0,24.2,93,44.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,-1
2022-05-17,24.9,25.8,24.1,97,70.9,Alappuzha,Dengue,9.5006651,76.41241429,2022-05-17,0
