date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-12,25.8,28.8,23.5,91,15.4,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-45
2022-04-13,25.6,30.4,23.7,92,16.1,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-44
2022-04-14,25.7,29.6,23.6,92,4.6,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-43
2022-04-15,27.1,31.6,23.4,87,2.8,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-42
2022-04-16,27.8,30.9,24.5,87,2.5,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-41
2022-04-17,26.4,30.8,23.1,89,10.3,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-40
2022-04-18,26.7,30.9,23.9,89,8.4,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-39
2022-04-19,26.2,30.6,23.2,90,13.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-38
2022-04-20,28.5,32.3,24.5,83,1.6,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-37
2022-04-21,28.3,32.5,25.7,86,1.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-36
2022-04-22,27.2,31.4,24.6,87,6.7,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-35
2022-04-23,26.8,30.5,24.5,88,1.6,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-34
2022-04-24,27.7,31.9,24.3,86,2.8,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-33
2022-04-25,28.0,32.1,25.2,85,7.5,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-32
2022-04-26,28.6,32.6,25.4,84,1.7,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-31
2022-04-27,29.1,34.1,26.1,82,1.1,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-30
2022-04-28,27.8,32.4,24.6,85,9.1,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-29
2022-04-29,27.3,32.8,23.9,86,9.6,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-28
2022-04-30,28.0,31.7,24.6,83,0.4,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-27
2022-05-01,27.1,30.3,24.4,87,12.2,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-26
2022-05-02,27.3,31.0,24.1,88,13.2,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-25
2022-05-03,28.6,31.9,25.5,84,1.2,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-24
2022-05-04,27.9,32.1,25.8,89,10.7,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-23
2022-05-05,26.5,29.3,23.9,90,19.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-22
2022-05-06,26.8,30.0,24.1,88,17.1,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-21
2022-05-07,27.5,31.5,24.6,88,3.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-20
2022-05-08,28.1,30.7,25.3,87,2.3,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-19
2022-05-09,26.2,29.0,24.0,92,21.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-18
2022-05-10,25.5,30.1,23.4,92,23.4,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-17
2022-05-11,24.7,28.7,23.1,93,14.8,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-16
2022-05-12,25.7,30.1,22.4,89,1.7,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-15
2022-05-13,26.7,30.2,24.0,85,3.2,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-14
2022-05-14,25.6,27.8,24.0,93,48.0,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-13
2022-05-15,25.7,28.0,24.5,91,26.7,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-12
2022-05-16,25.4,28.0,24.2,93,44.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-11
2022-05-17,24.9,25.8,24.1,97,70.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-10
2022-05-18,25.1,26.7,24.3,95,67.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-9
2022-05-19,25.0,27.7,23.4,94,38.8,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-8
2022-05-20,24.8,27.5,22.9,95,51.4,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-7
2022-05-21,25.3,28.2,23.7,93,12.9,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-6
2022-05-22,25.0,27.1,23.5,93,12.1,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-5
2022-05-23,25.5,29.4,23.4,92,15.5,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-4
2022-05-24,25.7,28.3,23.5,91,7.5,Alappuzha,Acute Diarrhoeal Disease,9.5006651,76.41241429,2022-05-27,-3
