date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-19,21.0,29.5,14.6,61,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-45
2022-01-20,21.6,28.2,15.0,57,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-44
2022-01-21,22.4,29.4,16.5,72,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-43
2022-01-22,22.3,27.5,19.3,64,1.9,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-42
2022-01-23,17.4,22.5,12.6,48,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-41
2022-01-24,15.8,22.4,10.7,51,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-40
2022-01-25,16.4,23.5,10.1,56,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-39
2022-01-26,16.8,23.9,10.5,54,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-38
2022-01-27,17.6,24.5,11.6,49,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-37
2022-01-28,17.9,25.7,11.3,44,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-36
2022-01-29,18.4,27.6,11.4,52,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-35
2022-01-30,19.0,28.6,10.8,55,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-34
2022-01-31,20.1,28.5,13.0,55,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-33
2022-02-01,21.8,30.0,13.9,62,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-32
2022-02-02,22.8,30.8,16.0,60,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-31
2022-02-03,21.6,28.7,15.8,50,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-30
2022-02-04,19.5,27.6,12.3,44,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-29
2022-02-05,20.4,28.6,11.2,41,0.0,Anand,Acute Gastroenteritis,22.5584995,72.9625629,2022-03-05,-28
