date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-19,24.2,29.9,18.7,62,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-45
2021-01-20,25.4,32.1,19.2,53,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-44
2021-01-21,26.4,33.0,19.6,50,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-43
2021-01-22,26.8,32.9,20.8,49,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-42
2021-01-23,26.1,32.4,20.1,51,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-41
2021-01-24,25.7,32.2,19.4,48,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-40
2021-01-25,25.4,32.7,18.7,46,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-39
2021-01-26,25.4,32.9,18.8,45,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-38
2021-01-27,25.3,32.4,18.8,48,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-37
2021-01-28,25.5,31.8,19.3,52,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-36
2021-01-29,25.5,31.9,18.8,53,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-35
2021-01-30,26.5,32.7,20.8,51,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-34
2021-01-31,26.6,32.5,21.1,48,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-33
2021-02-01,25.7,31.4,19.8,49,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-32
2021-02-02,25.3,31.2,19.7,56,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-31
2021-02-03,25.3,30.9,19.9,57,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-30
2021-02-04,25.0,31.0,18.9,48,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-29
2021-02-05,25.2,31.5,18.7,45,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-28
2021-02-06,25.3,32.0,18.5,44,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-27
2021-02-07,25.3,31.9,18.7,43,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-26
2021-02-08,25.0,31.8,18.4,43,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-25
2021-02-09,25.0,31.1,19.0,52,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-24
2021-02-10,25.1,32.2,18.5,44,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-23
2021-02-11,25.1,32.4,17.8,45,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-22
2021-02-12,25.3,32.6,18.5,38,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-21
2021-02-13,24.9,32.4,17.5,39,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-20
2021-02-14,25.3,32.6,17.8,38,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-19
2021-02-15,26.5,33.6,19.1,37,0.0,Anantapur,Acute Diarrhoeal Disease,14.6546235,77.55625984,2021-03-05,-18
