date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-07,26.3,32.8,22.2,70,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-45
2022-02-08,25.7,32.1,21.3,68,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-44
2022-02-09,25.2,31.5,21.3,69,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-43
2022-02-10,25.8,32.3,20.3,68,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-42
2022-02-11,24.8,28.3,23.2,82,16.1,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-41
2022-02-12,25.6,29.7,22.9,77,4.9,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-40
2022-02-13,25.5,29.4,22.6,73,0.1,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-39
2022-02-14,24.9,29.3,21.4,76,1.4,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-38
2022-02-15,25.3,30.4,21.9,69,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-37
2022-02-16,24.9,30.9,20.7,70,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-36
2022-02-17,25.1,30.7,20.8,71,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-35
2022-02-18,25.8,31.7,21.1,70,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-34
2022-02-19,26.2,31.1,22.0,70,0.9,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-33
2022-02-20,26.6,32.8,21.6,70,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-32
2022-02-21,27.2,33.8,21.6,71,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-31
2022-02-22,26.6,33.3,21.3,72,0.3,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-30
2022-02-23,26.6,32.7,22.4,71,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-29
2022-02-24,26.3,31.7,22.0,69,0.0,Ariyalur,Acute Diarrhoeal Disease,11.07603595,79.11745538,2022-03-24,-28
