date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,25.5,33.6,19.6,68,1.8,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-45
2022-04-17,24.0,32.4,18.8,74,12.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-44
2022-04-18,23.8,31.6,18.7,75,1.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-43
2022-04-19,25.5,32.8,19.2,66,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-42
2022-04-20,26.9,33.8,20.2,56,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-41
2022-04-21,27.0,33.9,20.7,55,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-40
2022-04-22,26.1,33.9,19.2,60,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-39
2022-04-23,26.2,33.0,20.4,60,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-38
2022-04-24,26.0,32.7,20.2,55,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-37
2022-04-25,27.2,34.5,20.3,50,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-36
2022-04-26,27.6,34.7,20.3,48,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-35
2022-04-27,28.1,35.3,21.0,47,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-34
2022-04-28,27.7,35.1,21.5,50,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-33
2022-04-29,28.6,36.6,20.4,46,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-32
2022-04-30,27.7,34.7,21.4,56,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-31
2022-05-01,27.8,34.5,21.4,55,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-30
2022-05-02,27.5,34.3,21.1,58,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-29
2022-05-03,26.7,34.1,20.8,63,1.2,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-28
2022-05-04,26.2,33.5,20.7,64,0.8,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-27
2022-05-05,24.8,31.4,20.1,76,0.2,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-26
2022-05-06,24.1,31.6,20.2,78,2.2,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-25
2022-05-07,25.3,31.9,20.0,69,1.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-24
2022-05-08,26.2,33.5,19.4,62,0.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-23
2022-05-09,25.9,32.0,19.6,67,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-22
2022-05-10,23.5,27.4,21.6,84,3.9,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-21
2022-05-11,22.7,25.4,20.9,79,0.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-20
2022-05-12,22.1,24.5,20.3,85,22.4,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-19
2022-05-13,22.7,27.1,20.2,86,7.9,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-18
2022-05-14,23.5,28.6,20.4,85,4.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-17
2022-05-15,23.8,29.2,20.8,84,6.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-16
2022-05-16,23.1,27.4,21.0,88,25.4,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-15
2022-05-17,23.0,28.2,20.8,89,14.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-14
2022-05-18,22.5,27.1,20.4,90,16.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-13
2022-05-19,21.6,24.5,19.4,86,0.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-12
2022-05-20,22.1,26.5,18.6,83,2.6,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-11
2022-05-21,22.6,26.6,19.0,78,0.2,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-10
2022-05-22,22.9,27.8,20.0,81,0.7,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-9
2022-05-23,24.2,29.3,19.8,76,0.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-8
2022-05-24,24.5,29.3,20.1,78,1.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-7
2022-05-25,24.5,29.4,20.0,77,0.6,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-6
2022-05-26,23.7,29.3,19.3,80,4.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-5
2022-05-27,24.0,29.5,19.8,73,0.3,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-4
2022-05-28,24.2,29.6,19.2,72,0.3,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-3
2022-05-29,24.3,29.8,19.5,71,0.0,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-2
2022-05-30,24.0,29.9,19.4,76,3.1,BBMP,Cholera,13.058135,77.50646228,2022-05-31,-1
2022-05-31,23.7,29.6,19.5,78,2.6,BBMP,Cholera,13.058135,77.50646228,2022-05-31,0
