date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-03,23.0,29.8,16.6,60,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-45
2020-12-04,23.6,29.8,18.0,63,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-44
2020-12-05,23.1,29.8,17.8,55,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-43
2020-12-06,23.0,29.5,16.3,55,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-42
2020-12-07,24.7,30.3,20.6,62,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-41
2020-12-08,24.5,29.0,20.7,72,0.4,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-40
2020-12-09,24.9,29.7,20.8,66,0.2,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-39
2020-12-10,25.0,31.0,19.9,51,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-38
2020-12-11,24.7,30.8,18.8,50,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-37
2020-12-12,24.3,30.7,18.8,42,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-36
2020-12-13,23.9,30.4,17.6,49,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-35
2020-12-14,24.4,30.6,18.4,46,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-34
2020-12-15,23.8,30.7,18.6,50,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-33
2020-12-16,23.7,29.8,18.0,57,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-32
2020-12-17,25.0,30.6,20.1,60,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-31
2020-12-18,24.5,30.2,19.2,58,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-30
2020-12-19,23.6,28.9,18.6,56,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-29
2020-12-20,22.8,28.7,17.9,49,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-28
2020-12-21,21.9,28.3,16.5,48,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-27
2020-12-22,21.3,28.4,13.8,47,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-26
2020-12-23,22.1,29.3,15.1,50,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-25
2020-12-24,23.1,29.6,17.2,53,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-24
2020-12-25,23.4,29.4,17.9,52,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-23
2020-12-26,22.9,29.2,17.2,56,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-22
2020-12-27,23.1,29.7,17.2,56,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-21
2020-12-28,23.6,30.9,17.3,51,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-20
2020-12-29,23.5,30.2,17.2,50,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-19
2020-12-30,23.9,30.4,17.6,55,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-18
2020-12-31,24.8,30.4,19.8,61,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-17
2021-01-01,24.3,29.3,19.8,63,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-16
2021-01-02,22.9,29.0,17.0,54,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-15
2021-01-03,23.9,29.7,18.5,58,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-14
2021-01-04,23.8,28.1,21.0,67,1.9,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-13
2021-01-05,25.6,30.6,21.9,54,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-12
2021-01-06,24.4,29.8,21.0,73,1.3,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-11
2021-01-07,24.1,27.4,21.6,75,1.4,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-10
2021-01-08,24.2,29.7,20.8,68,2.3,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-9
2021-01-09,24.8,29.8,21.2,72,0.9,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-8
2021-01-10,25.1,30.8,20.2,59,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-7
2021-01-11,25.5,31.5,20.3,58,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-6
2021-01-12,25.4,31.4,19.2,49,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-5
2021-01-13,24.8,30.7,19.1,47,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-4
2021-01-14,24.8,31.4,18.4,51,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-3
2021-01-15,25.0,31.2,18.8,49,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-2
2021-01-16,25.9,31.6,20.4,52,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,-1
2021-01-17,26.5,32.9,20.5,48,0.0,Bagalkot,Chikungunya,16.1853166,75.6967919,2021-01-17,0
