date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,23.8,28.1,20.2,78,15.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-45
2022-04-17,23.7,29.2,20.4,77,11.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-44
2022-04-18,23.1,27.6,19.5,81,14.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-43
2022-04-19,24.3,29.1,20.5,81,7.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-42
2022-04-20,23.1,28.0,20.0,87,10.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-41
2022-04-21,24.3,29.2,19.1,84,0.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-40
2022-04-22,24.5,28.5,21.3,86,5.5,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-39
2022-04-23,24.1,28.6,21.5,87,19.8,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-38
2022-04-24,24.5,29.4,21.3,85,7.8,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-37
2022-04-25,24.6,29.4,21.0,86,16.8,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-36
2022-04-26,23.8,28.9,21.2,86,30.4,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-35
2022-04-27,22.9,26.2,20.8,87,26.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-34
2022-04-28,25.1,29.9,20.6,80,1.6,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-33
2022-04-29,25.0,30.4,21.9,81,7.2,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-32
2022-04-30,22.1,24.5,20.9,89,29.7,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-31
2022-05-01,23.6,27.3,20.3,81,1.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-30
2022-05-02,23.4,27.7,20.3,89,15.5,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-29
2022-05-03,24.3,29.7,20.9,83,1.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-28
2022-05-04,24.1,28.7,20.1,77,0.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-27
2022-05-05,25.3,30.7,20.5,75,0.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-26
2022-05-06,26.2,31.6,20.4,77,0.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-25
2022-05-07,26.6,30.7,23.2,81,11.9,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-24
2022-05-08,27.4,32.0,22.6,77,0.2,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-23
2022-05-09,27.2,31.3,22.7,77,1.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-22
2022-05-10,26.1,29.9,22.9,80,8.8,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-21
2022-05-11,25.5,30.3,22.3,85,17.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-20
2022-05-12,25.0,29.4,22.2,89,72.4,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-19
2022-05-13,24.0,26.7,22.8,94,105.7,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-18
2022-05-14,24.7,27.5,22.6,91,50.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-17
2022-05-15,24.1,25.0,23.3,96,180.6,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-16
2022-05-16,23.6,25.2,22.6,96,76.2,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-15
2022-05-17,22.8,24.3,22.2,96,146.2,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-14
2022-05-18,24.4,29.4,22.1,89,36.7,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-13
2022-05-19,24.5,29.0,22.4,89,57.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-12
2022-05-20,24.3,29.3,21.8,88,60.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-11
2022-05-21,24.0,27.8,21.9,89,33.9,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-10
2022-05-22,25.2,30.0,20.9,83,8.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-9
2022-05-23,25.7,30.2,21.6,85,6.0,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-8
2022-05-24,27.6,32.5,22.1,81,2.1,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-7
2022-05-25,25.6,28.7,23.1,89,4.3,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-6
2022-05-26,26.8,30.8,23.6,81,0.9,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-5
2022-05-27,26.8,30.2,23.8,81,0.9,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-4
2022-05-28,27.2,31.7,22.3,78,1.4,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-3
2022-05-29,27.4,31.9,22.8,80,0.2,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-2
2022-05-30,27.7,31.7,24.6,83,2.5,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,-1
2022-05-31,27.4,31.8,24.2,87,9.3,Baksa,Acute Diarrhoeal Disease,26.62758805,91.46190527,2022-05-31,0
