date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-06,24.1,30.7,18.2,68,0.1,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-45
2020-12-07,24.4,28.9,21.7,76,2.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-44
2020-12-08,24.4,29.3,21.4,80,5.9,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-43
2020-12-09,24.0,28.8,21.6,80,4.6,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-42
2020-12-10,23.8,29.8,19.2,63,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-41
2020-12-11,23.5,30.2,18.4,59,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-40
2020-12-12,22.8,30.0,17.1,58,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-39
2020-12-13,23.0,30.5,17.0,60,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-38
2020-12-14,23.4,30.8,17.2,60,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-37
2020-12-15,23.7,30.6,18.5,61,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-36
2020-12-16,24.9,31.8,20.0,66,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-35
2020-12-17,25.4,30.6,20.7,65,0.2,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-34
2020-12-18,25.2,31.1,20.7,64,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-33
2020-12-19,24.2,30.0,19.2,63,0.0,Ballari,Acute Diarrhoeal Disease,15.2485413,76.8323648,2021-01-20,-32
