date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-05-01,33.9,40.7,28.1,27,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-45
2022-05-02,33.4,39.8,27.8,40,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-44
2022-05-03,32.8,38.5,27.7,42,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-43
2022-05-04,32.6,39.4,26.7,47,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-42
2022-05-05,32.6,39.0,27.7,42,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-41
2022-05-06,32.3,39.3,25.2,41,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-40
2022-05-07,31.9,38.0,26.0,46,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-39
2022-05-08,32.9,40.5,25.7,41,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-38
2022-05-09,32.7,39.4,25.4,39,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-37
2022-05-10,31.6,37.1,26.5,50,0.1,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-36
2022-05-11,30.7,36.5,27.3,62,0.4,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-35
2022-05-12,33.1,39.3,26.9,50,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-34
2022-05-13,33.6,39.5,28.3,50,0.1,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-33
2022-05-14,34.5,41.4,29.5,45,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-32
2022-05-15,34.8,41.5,29.9,46,0.1,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-31
2022-05-16,32.7,38.0,28.1,53,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-30
2022-05-17,31.9,39.1,28.6,57,1.9,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-29
2022-05-18,30.7,36.9,28.2,66,14.8,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-28
2022-05-19,31.3,36.8,27.0,60,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-27
2022-05-20,32.8,39.0,27.0,55,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-26
2022-05-21,34.5,40.7,29.4,42,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-25
2022-05-22,33.6,39.1,28.4,39,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-24
2022-05-23,32.9,39.1,27.1,40,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-23
2022-05-24,30.2,35.0,25.5,56,5.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-22
2022-05-25,31.7,38.9,25.6,52,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-21
2022-05-26,30.9,38.2,25.6,55,3.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-20
2022-05-27,32.0,38.5,26.6,46,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-19
2022-05-28,32.3,38.6,26.2,42,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-18
2022-05-29,33.2,39.0,28.5,39,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-17
2022-05-30,30.9,36.9,26.8,55,0.5,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-16
2022-05-31,33.2,39.0,28.6,46,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-15
2022-06-01,32.4,38.3,28.4,47,4.7,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-14
2022-06-02,33.6,40.1,27.4,40,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-13
2022-06-03,34.7,41.4,28.0,34,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-12
2022-06-04,35.8,41.1,29.9,30,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-11
2022-06-05,35.5,41.7,30.3,32,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-10
2022-06-06,34.6,40.8,28.8,39,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-9
2022-06-07,35.2,41.8,29.1,34,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-8
2022-06-08,35.3,42.0,29.3,30,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-7
2022-06-09,35.2,40.7,29.7,35,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-6
2022-06-10,33.6,37.5,30.7,45,1.1,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-5
2022-06-11,31.2,38.1,27.4,57,3.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-4
2022-06-12,30.8,35.9,25.8,60,0.2,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-3
2022-06-13,32.2,37.2,27.5,55,0.0,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-2
2022-06-14,32.5,38.2,25.5,54,5.6,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,-1
2022-06-15,30.1,36.2,25.6,69,15.7,Balod,Acute Diarrhoeal Disease,20.73218365,81.14335738,2022-06-15,0
