date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-04,23.1,30.2,15.6,58,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-45
2022-03-05,24.2,32.7,16.9,55,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-44
2022-03-06,23.9,31.1,17.6,56,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-43
2022-03-07,23.9,31.7,17.0,56,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-42
2022-03-08,24.6,32.5,17.7,56,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-41
2022-03-09,24.6,32.7,16.9,50,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-40
2022-03-10,24.7,32.6,17.0,51,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-39
2022-03-11,25.3,33.3,16.9,48,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-38
2022-03-12,25.4,33.1,18.4,49,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-37
2022-03-13,25.2,33.2,16.9,51,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-36
2022-03-14,26.0,34.7,18.2,52,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-35
2022-03-15,26.3,34.6,17.9,54,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-34
2022-03-16,27.7,35.9,20.2,55,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-33
2022-03-17,28.4,36.6,21.5,63,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-32
2022-03-18,28.1,36.4,21.8,63,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-31
2022-03-19,28.4,36.6,21.5,52,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-30
2022-03-20,28.6,36.7,21.8,55,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-29
2022-03-21,28.3,36.3,22.4,69,0.2,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-28
2022-03-22,28.5,36.7,23.0,68,0.2,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-27
2022-03-23,28.0,34.5,23.4,72,0.2,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-26
2022-03-24,28.8,37.0,22.5,62,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-25
2022-03-25,29.1,36.5,23.9,70,0.1,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-24
2022-03-26,29.8,36.6,24.6,66,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-23
2022-03-27,29.5,36.8,24.3,64,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-22
2022-03-28,29.3,36.9,23.3,61,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-21
2022-03-29,29.5,37.9,23.9,64,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-20
2022-03-30,29.7,36.8,24.5,71,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-19
2022-03-31,30.2,36.4,25.6,69,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-18
2022-04-01,30.3,36.5,25.9,72,0.5,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-17
2022-04-02,30.1,36.3,26.0,72,0.2,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-16
2022-04-03,29.6,36.1,25.0,74,0.1,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-15
2022-04-04,29.8,36.6,25.6,71,0.3,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-14
2022-04-05,29.7,35.7,25.2,72,0.1,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-13
2022-04-06,29.8,37.2,24.9,69,0.2,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-12
2022-04-07,29.2,35.9,24.2,72,1.9,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-11
2022-04-08,29.7,37.6,24.1,71,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-10
2022-04-09,30.1,38.6,24.4,68,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-9
2022-04-10,30.0,37.1,24.8,74,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-8
2022-04-11,29.3,37.0,25.4,76,6.8,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-7
2022-04-12,30.1,36.2,24.8,75,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-6
2022-04-13,30.9,37.7,25.7,73,0.1,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-5
2022-04-14,30.5,38.0,26.5,73,3.4,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-4
2022-04-15,31.9,40.8,25.3,59,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-3
2022-04-16,30.1,37.2,25.4,72,1.7,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-2
2022-04-17,29.3,37.7,25.1,75,7.4,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,-1
2022-04-18,30.0,37.5,25.3,77,0.0,Bardhaman,Acute Diarrhoeal Disease,23.41146995,87.84499445,2022-04-18,0
