date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-24,32.3,40.1,25.0,14,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-45
2022-04-25,33.0,40.8,25.9,14,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-44
2022-04-26,33.3,40.5,25.1,16,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-43
2022-04-27,34.4,41.5,25.0,16,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-42
2022-04-28,35.4,42.4,27.1,15,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-41
2022-04-29,34.8,41.5,28.7,13,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-40
2022-04-30,34.6,41.5,27.7,19,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-39
2022-05-01,35.3,42.8,26.7,19,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-38
2022-05-02,35.3,41.9,28.1,19,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-37
2022-05-03,33.7,39.7,28.6,19,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-36
2022-05-04,33.4,40.3,26.8,21,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-35
2022-05-05,33.0,39.9,25.7,21,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-34
2022-05-06,33.7,39.5,26.9,24,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-33
2022-05-07,33.9,40.2,25.8,21,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-32
2022-05-08,35.2,41.7,29.2,16,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-31
2022-05-09,35.1,42.3,26.9,17,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-30
2022-05-10,35.8,43.8,27.0,14,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-29
2022-05-11,36.6,43.8,28.6,13,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-28
2022-05-12,37.1,44.1,29.8,13,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-27
2022-05-13,38.2,45.5,31.9,13,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-26
2022-05-14,36.9,43.6,29.4,21,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-25
2022-05-15,36.1,42.6,30.2,24,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-24
2022-05-16,35.1,41.1,30.1,15,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-23
2022-05-17,34.0,39.6,28.3,20,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-22
2022-05-18,34.2,40.1,26.5,20,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-21
2022-05-19,36.0,43.3,28.3,18,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-20
2022-05-20,36.7,43.6,29.4,19,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-19
2022-05-21,34.5,40.8,29.1,26,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-18
2022-05-22,33.6,40.0,28.6,38,0.0,Bhilwara,Acute Diarrhoeal Disease,25.48877345,74.69961284,2022-06-08,-17
