date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-23,32.9,39.6,26.1,18,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-45
2022-04-24,32.4,39.8,25.8,18,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-44
2022-04-25,33.1,39.7,26.2,15,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-43
2022-04-26,33.2,40.4,26.5,15,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-42
2022-04-27,33.6,40.7,26.1,14,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-41
2022-04-28,34.3,41.9,27.3,14,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-40
2022-04-29,35.0,41.6,29.1,14,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-39
2022-04-30,33.9,40.5,27.3,17,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-38
2022-05-01,34.1,40.0,28.5,24,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-37
2022-05-02,33.9,40.4,28.6,26,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-36
2022-05-03,34.2,40.0,28.5,23,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-35
2022-05-04,33.5,39.8,27.2,21,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-34
2022-05-05,33.0,39.9,26.5,20,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-33
2022-05-06,33.2,40.1,25.8,22,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-32
2022-05-07,32.5,37.8,26.6,26,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-31
2022-05-08,34.2,41.2,26.4,19,0.0,Bhopal,Acute Diarrhoeal Disease,23.2584857,77.401989,2022-06-07,-30
