date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-06,23.0,28.8,17.5,72,2.3,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-45
2021-01-07,22.8,27.7,19.7,75,3.8,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-44
2021-01-08,24.3,30.1,18.5,67,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-43
2021-01-09,24.7,30.3,20.2,59,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-42
2021-01-10,24.2,30.7,18.3,53,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-41
2021-01-11,24.0,31.0,18.0,46,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-40
2021-01-12,24.5,31.0,18.5,54,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-39
2021-01-13,23.7,30.0,18.7,58,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-38
2021-01-14,22.6,30.0,16.3,58,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-37
2021-01-15,22.9,29.7,16.9,61,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-36
2021-01-16,24.1,30.6,18.2,58,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-35
2021-01-17,24.4,30.1,19.0,57,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-34
2021-01-18,24.0,30.0,18.7,59,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-33
2021-01-19,23.7,30.0,17.4,59,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-32
2021-01-20,24.3,30.9,19.0,54,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-31
2021-01-21,24.1,30.3,18.4,56,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-30
2021-01-22,24.1,30.7,18.2,57,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-29
2021-01-23,23.9,31.1,17.4,56,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-28
2021-01-24,23.9,31.1,17.9,58,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-27
2021-01-25,24.5,31.0,18.3,57,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-26
2021-01-26,25.0,30.7,19.7,50,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-25
2021-01-27,23.9,29.9,18.1,52,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-24
2021-01-28,24.3,30.0,19.0,53,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-23
2021-01-29,24.1,29.6,18.9,54,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-22
2021-01-30,24.7,29.3,19.6,50,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-21
2021-01-31,24.1,28.9,19.0,56,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-20
2021-02-01,23.3,29.0,18.6,53,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-19
2021-02-02,22.1,29.3,15.9,46,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-18
2021-02-03,21.8,29.4,14.4,41,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-17
2021-02-04,22.2,29.5,14.7,40,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-16
2021-02-05,22.7,29.6,16.7,41,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-15
2021-02-06,22.6,29.4,16.6,43,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-14
2021-02-07,21.7,28.2,16.8,42,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-13
2021-02-08,20.8,28.5,14.3,39,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-12
2021-02-09,21.5,30.6,13.0,38,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-11
2021-02-10,22.3,31.1,13.6,41,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-10
2021-02-11,23.1,31.4,15.2,41,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-9
2021-02-12,23.8,31.3,17.2,42,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-8
2021-02-13,24.3,31.4,18.2,41,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-7
2021-02-14,24.6,31.7,17.9,40,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-6
2021-02-15,25.9,32.0,19.7,35,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-5
2021-02-16,25.8,32.1,20.9,36,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-4
2021-02-17,25.2,31.1,20.2,39,0.0,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-3
2021-02-18,23.7,29.5,19.0,42,0.1,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-2
2021-02-19,19.7,23.2,17.1,70,5.1,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,-1
2021-02-20,21.5,27.8,15.4,61,0.1,Bidar,Chikungunya,18.083333,77.333333,2021-02-20,0
