date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-28,32.3,40.5,24.7,12,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-45
2022-03-29,32.5,40.5,24.1,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-44
2022-03-30,33.1,40.8,25.4,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-43
2022-03-31,31.2,38.6,22.5,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-42
2022-04-01,30.7,38.3,21.0,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-41
2022-04-02,31.9,40.7,23.3,10,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-40
2022-04-03,32.2,40.3,24.4,7,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-39
2022-04-04,31.6,38.9,22.8,12,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-38
2022-04-05,31.9,40.2,22.3,11,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-37
2022-04-06,32.2,40.7,21.9,11,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-36
2022-04-07,33.0,41.4,23.4,9,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-35
2022-04-08,34.2,42.3,24.7,10,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-34
2022-04-09,34.7,42.1,25.4,12,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-33
2022-04-10,34.7,41.9,27.3,11,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-32
2022-04-11,35.1,41.3,28.1,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-31
2022-04-12,33.1,38.6,27.2,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-30
2022-04-13,33.4,39.3,27.3,19,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-29
2022-04-14,33.4,40.2,24.5,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-28
2022-04-15,34.1,40.9,26.1,11,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-27
2022-04-16,33.6,41.3,23.9,10,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-26
2022-04-17,34.3,41.5,25.7,13,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-25
2022-04-18,34.4,41.7,26.7,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-24
2022-04-19,34.3,41.5,26.4,19,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-23
2022-04-20,34.4,40.4,26.5,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-22
2022-04-21,34.0,39.3,28.8,17,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-21
2022-04-22,32.4,39.4,23.7,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-20
2022-04-23,32.9,39.6,24.8,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-19
2022-04-24,33.7,41.0,24.9,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-18
2022-04-25,34.4,41.5,26.1,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-17
2022-04-26,35.7,42.2,28.2,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-16
2022-04-27,35.7,42.9,26.8,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-15
2022-04-28,36.5,43.2,29.7,13,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-14
2022-04-29,35.6,42.2,28.4,13,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-13
2022-04-30,35.6,42.6,27.3,17,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-12
2022-05-01,37.9,44.5,30.3,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-11
2022-05-02,37.2,42.9,32.3,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-10
2022-05-03,34.0,39.1,28.4,22,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-9
2022-05-04,34.4,40.2,29.2,27,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-8
2022-05-05,34.2,40.5,26.9,25,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-7
2022-05-06,33.9,40.0,26.5,25,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-6
2022-05-07,35.4,42.5,27.1,18,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-5
2022-05-08,36.6,44.0,27.2,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-4
2022-05-09,36.7,43.4,29.4,15,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-3
2022-05-10,36.8,43.4,28.9,16,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-2
2022-05-11,37.4,44.3,28.8,13,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,-1
2022-05-12,38.0,45.1,30.2,14,0.0,Bikaner,Acute Diarrhoeal Disease,28.0159286,73.3171367,2022-05-12,0
