date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-23,12.1,18.6,6.3,72,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-45
2020-12-24,11.0,16.8,5.3,75,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-44
2020-12-25,10.8,17.6,4.9,78,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-43
2020-12-26,11.3,18.0,5.8,74,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-42
2020-12-27,10.8,16.9,4.3,73,6.9,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-41
2020-12-28,10.0,13.2,5.5,80,6.7,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-40
2020-12-29,9.1,14.2,4.5,83,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-39
2020-12-30,9.2,16.1,3.2,83,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-38
2020-12-31,10.9,18.1,4.6,72,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-37
2021-01-01,12.0,15.1,9.0,74,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-36
2021-01-02,11.1,16.3,6.0,77,0.9,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-35
2021-01-03,12.2,17.3,9.2,86,4.3,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-34
2021-01-04,13.3,18.3,8.5,82,2.7,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-33
2021-01-05,13.9,16.1,11.5,76,6.2,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-32
2021-01-06,13.1,16.3,10.5,86,16.8,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-31
2021-01-07,13.0,19.1,7.6,85,0.3,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-30
2021-01-08,12.4,16.5,8.6,90,0.8,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-29
2021-01-09,12.5,18.2,7.9,82,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-28
2021-01-10,12.1,17.2,8.2,89,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-27
2021-01-11,11.4,15.9,8.7,90,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-26
2021-01-12,11.2,16.6,6.2,84,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-25
2021-01-13,11.7,16.9,7.0,79,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-24
2021-01-14,10.7,14.4,6.5,83,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-23
2021-01-15,12.0,15.8,8.0,83,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-22
2021-01-16,11.8,17.4,6.6,85,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-21
2021-01-17,11.1,16.2,6.6,90,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-20
2021-01-18,11.8,18.6,6.3,80,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-19
2021-01-19,12.7,20.1,8.0,73,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-18
2021-01-20,12.2,19.1,6.6,73,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-17
2021-01-21,12.1,19.2,6.6,72,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-16
2021-01-22,12.6,17.0,7.7,74,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-15
2021-01-23,12.3,18.7,7.1,79,3.5,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-14
2021-01-24,11.8,15.6,7.9,86,2.9,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-13
2021-01-25,11.2,17.1,6.3,81,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-12
2021-01-26,11.0,17.0,6.8,82,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-11
2021-01-27,11.0,17.1,5.0,79,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-10
2021-01-28,10.5,15.7,4.3,80,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-9
2021-01-29,10.3,16.9,4.2,80,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-8
2021-01-30,10.7,16.6,5.0,72,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-7
2021-01-31,10.7,17.7,4.0,75,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-6
2021-02-01,12.3,19.0,6.5,73,1.1,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-5
2021-02-02,12.9,20.8,6.0,74,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-4
2021-02-03,13.0,19.0,9.2,68,8.1,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-3
2021-02-04,10.3,13.0,6.9,78,13.5,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-2
2021-02-05,10.5,16.1,5.6,78,0.1,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,-1
2021-02-06,10.4,17.5,4.8,76,0.0,Bilaspur,Acute Diarrhoeal Disease,31.3380959,76.7611631,2021-02-06,0
