date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-16,24.1,30.4,18.6,66,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-45
2020-12-17,23.6,29.3,19.6,67,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-44
2020-12-18,21.9,27.9,16.9,65,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-43
2020-12-19,19.5,26.9,13.2,52,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-42
2020-12-20,19.2,26.7,13.2,38,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-41
2020-12-21,18.5,26.3,11.4,42,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-40
2020-12-22,18.7,26.4,11.8,46,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-39
2020-12-23,18.6,27.0,11.9,49,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-38
2020-12-24,19.3,27.3,10.8,45,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-37
2020-12-25,19.5,27.9,12.3,50,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-36
2020-12-26,19.2,27.4,12.3,54,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-35
2020-12-27,20.2,27.9,11.7,47,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-34
2020-12-28,20.0,28.3,12.1,52,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-33
2020-12-29,20.7,28.6,13.7,53,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-32
2020-12-30,21.3,28.4,14.1,53,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-31
2020-12-31,20.7,28.2,13.7,57,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-30
2021-01-01,21.1,28.0,14.4,57,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-29
2021-01-02,21.0,28.3,14.2,57,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-28
2021-01-03,21.9,29.3,14.2,52,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-27
2021-01-04,22.0,29.6,17.2,54,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-26
2021-01-05,22.4,30.2,14.7,51,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-25
2021-01-06,24.0,31.2,17.2,47,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-24
2021-01-07,24.8,29.6,20.4,56,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-23
2021-01-08,24.5,31.0,19.3,60,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-22
2021-01-09,24.8,32.2,18.3,48,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-21
2021-01-10,25.1,32.2,18.6,47,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-20
2021-01-11,24.7,31.8,18.5,57,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-19
2021-01-12,24.0,30.7,18.1,60,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-18
2021-01-13,22.6,28.7,18.0,54,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-17
2021-01-14,19.8,27.3,13.7,44,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-16
2021-01-15,19.2,27.3,11.8,44,0.0,Bolangir,Chikungunya,20.7502257,83.2499464,2021-01-30,-15
