date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-11-18,23.3,28.1,20.3,82,2.4,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-45
2020-11-19,23.5,28.8,19.5,76,0.3,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-44
2020-11-20,23.2,29.4,19.0,75,0.2,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-43
2020-11-21,21.7,27.9,16.7,67,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-42
2020-11-22,21.2,28.4,15.1,56,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-41
2020-11-23,22.1,28.8,15.7,60,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-40
2020-11-24,22.8,28.3,18.0,69,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-39
2020-11-25,22.6,27.7,18.4,73,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-38
2020-11-26,22.3,25.8,20.1,78,3.2,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-37
2020-11-27,22.9,29.1,17.9,72,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-36
2020-11-28,22.5,28.6,18.3,76,1.5,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-35
2020-11-29,23.2,28.8,19.5,76,0.9,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-34
2020-11-30,23.8,29.8,18.4,71,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-33
2020-12-01,22.5,28.6,17.8,66,0.0,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-32
2020-12-02,22.5,29.1,16.8,71,0.2,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-31
2020-12-03,21.3,24.7,19.8,83,12.5,Chamarajanagar,Chikungunya,11.9346006,76.9328209,2021-01-02,-30
