date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-20,36.3,43.8,28.7,20,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-45
2022-04-21,34.6,42.0,29.2,32,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-44
2022-04-22,32.1,37.1,27.0,49,0.2,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-43
2022-04-23,32.4,38.1,27.9,46,0.5,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-42
2022-04-24,34.0,40.9,27.4,36,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-41
2022-04-25,35.3,42.8,27.6,24,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-40
2022-04-26,35.4,43.1,28.2,23,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-39
2022-04-27,35.9,43.5,28.7,24,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-38
2022-04-28,35.8,43.2,28.4,27,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-37
2022-04-29,36.1,44.2,28.2,24,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-36
2022-04-30,36.5,43.5,29.3,17,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-35
2022-05-01,36.4,42.8,30.6,18,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-34
2022-05-02,35.8,42.6,29.2,28,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-33
2022-05-03,35.5,42.9,29.9,30,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-32
2022-05-04,34.8,41.7,27.1,35,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-31
2022-05-05,34.8,40.6,29.1,33,0.4,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-30
2022-05-06,35.2,42.5,28.3,26,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-29
2022-05-07,34.6,40.6,27.9,34,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-28
2022-05-08,35.5,41.8,28.8,28,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-27
2022-05-09,35.1,42.2,28.6,31,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-26
2022-05-10,34.9,41.6,28.4,31,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-25
2022-05-11,34.0,39.4,29.9,45,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-24
2022-05-12,34.6,40.2,29.5,46,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-23
2022-05-13,35.4,42.0,29.4,43,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-22
2022-05-14,37.0,43.5,31.0,36,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-21
2022-05-15,37.2,43.7,31.7,36,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-20
2022-05-16,33.5,38.0,28.2,49,0.2,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-19
2022-05-17,34.2,43.2,25.5,48,14.7,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-18
2022-05-18,33.8,38.2,29.7,51,0.7,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-17
2022-05-19,32.6,38.5,28.0,55,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-16
2022-05-20,34.2,40.3,28.9,48,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-15
2022-05-21,36.4,43.0,30.5,34,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-14
2022-05-22,35.2,40.6,30.4,28,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-13
2022-05-23,34.9,40.4,30.4,31,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-12
2022-05-24,33.6,40.2,27.8,39,0.2,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-11
2022-05-25,34.2,40.9,27.6,40,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-10
2022-05-26,33.8,40.9,27.4,40,0.9,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-9
2022-05-27,33.7,40.8,26.7,39,0.2,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-8
2022-05-28,34.5,40.5,28.5,32,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-7
2022-05-29,35.4,41.4,29.5,30,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-6
2022-05-30,35.4,41.9,29.3,32,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-5
2022-05-31,34.0,41.4,29.4,41,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-4
2022-06-01,35.5,42.8,30.0,34,0.1,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-3
2022-06-02,37.1,43.6,29.5,26,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-2
2022-06-03,37.8,43.6,32.3,20,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,-1
2022-06-04,38.2,43.9,33.2,20,0.0,Chandrapur,Malaria,20.0967555,79.50454752,2022-06-04,0
