date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-05-15,33.4,41.6,26.7,48,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-45
2022-05-16,33.2,40.8,26.8,48,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-44
2022-05-17,33.1,39.8,27.5,44,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-43
2022-05-18,32.4,40.1,25.9,47,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-42
2022-05-19,33.4,41.9,25.2,41,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-41
2022-05-20,33.2,41.2,26.7,47,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-40
2022-05-21,31.3,38.6,26.6,57,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-39
2022-05-22,31.2,37.6,26.4,56,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-38
2022-05-23,31.5,37.7,27.0,58,0.1,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-37
2022-05-24,32.1,38.9,27.0,56,0.1,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-36
2022-05-25,32.4,38.7,26.9,54,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-35
2022-05-26,32.0,38.8,26.7,54,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-34
2022-05-27,31.2,37.3,26.8,56,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-33
2022-05-28,31.4,37.4,26.8,56,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-32
2022-05-29,31.6,37.6,27.1,56,0.2,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-31
2022-05-30,31.5,37.4,27.0,57,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-30
2022-05-31,31.9,38.2,26.5,53,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-29
2022-06-01,32.7,40.6,26.5,50,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-28
2022-06-02,33.0,41.1,26.1,48,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-27
2022-06-03,32.6,40.0,26.9,46,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-26
2022-06-04,32.8,40.4,26.7,47,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-25
2022-06-05,33.1,41.0,26.2,45,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-24
2022-06-06,33.0,40.9,26.5,45,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-23
2022-06-07,32.6,39.7,26.6,49,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-22
2022-06-08,32.9,38.9,27.6,56,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-21
2022-06-09,33.1,39.0,27.9,53,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-20
2022-06-10,32.9,39.7,27.6,54,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-19
2022-06-11,31.4,38.9,27.3,62,0.4,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-18
2022-06-12,28.9,34.7,25.4,73,13.3,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-17
2022-06-13,29.5,34.5,26.3,70,2.6,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-16
2022-06-14,30.6,36.1,26.1,64,0.4,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-15
2022-06-15,29.9,34.9,26.8,68,1.8,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-14
2022-06-16,30.4,35.3,26.3,65,1.6,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-13
2022-06-17,30.5,35.6,26.6,66,2.4,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-12
2022-06-18,30.4,34.8,26.6,65,1.5,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-11
2022-06-19,29.5,34.5,26.7,71,2.5,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-10
2022-06-20,28.7,33.4,25.3,74,5.2,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-9
2022-06-21,29.2,35.1,23.8,71,7.1,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-8
2022-06-22,29.4,36.1,23.9,71,14.2,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-7
2022-06-23,28.1,35.3,25.1,82,22.8,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-6
2022-06-24,28.7,33.7,25.8,79,10.1,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-5
2022-06-25,31.1,36.6,25.3,63,0.0,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-4
2022-06-26,30.6,37.6,26.5,71,8.4,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-3
2022-06-27,28.8,33.4,26.1,77,8.6,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-2
2022-06-28,28.5,33.4,25.8,76,4.4,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,-1
2022-06-29,29.6,33.8,26.0,71,0.7,Chhota Udepur,Acute Diarrhoeal Disease,22.3148736,74.0141067,2022-06-29,0
