date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-10,21.4,27.0,16.5,66,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-45
2020-12-11,21.0,27.0,17.0,69,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-44
2020-12-12,20.4,26.6,15.7,70,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-43
2020-12-13,20.1,26.6,14.3,75,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-42
2020-12-14,20.9,27.0,16.3,73,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-41
2020-12-15,21.0,26.8,16.1,74,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-40
2020-12-16,22.3,27.4,18.8,78,0.8,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-39
2020-12-17,22.7,26.8,19.9,78,0.9,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-38
2020-12-18,22.1,26.9,18.5,72,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-37
2020-12-19,22.1,27.2,18.3,73,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-36
2020-12-20,21.2,25.8,18.1,74,0.2,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-35
2020-12-21,20.1,25.8,15.3,73,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-34
2020-12-22,20.1,27.2,14.1,67,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-33
2020-12-23,21.0,27.3,15.5,66,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-32
2020-12-24,21.5,27.8,16.4,71,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-31
2020-12-25,21.2,27.8,16.2,66,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-30
2020-12-26,20.5,26.7,15.3,69,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-29
2020-12-27,20.7,27.8,14.9,70,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-28
2020-12-28,20.6,27.9,14.4,63,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-27
2020-12-29,21.3,28.1,14.1,70,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-26
2020-12-30,23.1,29.4,17.8,69,0.2,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-25
2020-12-31,22.0,26.4,18.9,74,0.2,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-24
2021-01-01,21.3,26.6,17.9,69,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-23
2021-01-02,20.9,27.8,14.1,74,0.0,Chikkaballapur,Acute Diarrhoeal Disease,13.6102243,77.5127721,2021-01-24,-22
