date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-27,26.6,34.5,19.6,70,0.0,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-45
2022-04-28,24.6,31.7,20.2,86,7.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-44
2022-04-29,25.5,33.2,19.9,78,0.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-43
2022-04-30,25.3,31.2,21.6,82,1.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-42
2022-05-01,24.8,31.1,21.2,83,0.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-41
2022-05-02,24.9,31.6,21.1,80,0.0,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-40
2022-05-03,24.8,31.8,21.2,83,0.6,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-39
2022-05-04,24.4,31.5,21.6,87,6.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-38
2022-05-05,24.2,31.1,21.4,87,0.8,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-37
2022-05-06,23.0,30.8,19.9,89,20.6,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-36
2022-05-07,24.1,30.9,20.4,85,2.0,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-35
2022-05-08,24.4,31.0,20.8,85,1.1,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-34
2022-05-09,23.8,28.7,21.2,89,6.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-33
2022-05-10,23.0,26.2,21.0,92,7.7,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-32
2022-05-11,21.3,21.9,20.4,98,9.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-31
2022-05-12,21.4,23.7,19.6,95,5.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-30
2022-05-13,22.7,26.0,20.5,89,1.8,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-29
2022-05-14,23.2,28.1,21.1,89,8.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-28
2022-05-15,23.3,27.6,21.0,88,2.5,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-27
2022-05-16,23.2,29.5,21.0,90,13.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-26
2022-05-17,21.7,24.6,20.3,97,43.6,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-25
2022-05-18,21.2,22.8,20.0,99,48.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-24
2022-05-19,19.8,20.9,17.7,98,117.5,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-23
2022-05-20,20.7,24.3,18.0,92,9.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-22
2022-05-21,20.9,24.6,18.1,88,0.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-21
2022-05-22,21.8,25.8,19.4,91,9.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-20
2022-05-23,23.4,28.2,20.5,87,1.8,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-19
2022-05-24,23.6,29.2,21.3,88,4.2,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-18
2022-05-25,23.9,29.9,20.9,85,1.0,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-17
2022-05-26,23.3,28.9,19.8,84,2.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-16
2022-05-27,22.9,28.7,19.5,83,1.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-15
2022-05-28,22.7,26.7,19.9,85,1.9,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-14
2022-05-29,23.1,29.1,19.3,81,0.5,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-13
2022-05-30,22.8,28.5,19.3,85,2.8,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-12
2022-05-31,22.8,28.1,20.3,86,2.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-11
2022-06-01,22.7,29.3,20.1,88,3.9,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-10
2022-06-02,22.8,29.0,19.9,87,3.3,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-9
2022-06-03,22.9,29.2,20.1,86,3.0,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-8
2022-06-04,23.9,31.2,20.5,85,2.5,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-7
2022-06-05,23.3,29.9,19.7,87,10.1,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-6
2022-06-06,22.5,27.1,20.6,92,13.4,Chikkamagaluru,Acute Diarrhoeal Disease,13.5,75.5,2022-06-11,-5
