date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-06,25.0,31.9,19.3,75,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-45
2022-02-07,26.1,33.6,20.3,73,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-44
2022-02-08,26.3,33.3,21.7,73,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-43
2022-02-09,26.4,33.7,21.4,73,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-42
2022-02-10,26.7,33.2,21.6,70,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-41
2022-02-11,27.9,37.7,21.9,57,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-40
2022-02-12,27.5,36.7,21.7,56,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-39
2022-02-13,27.3,35.2,21.9,64,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-38
2022-02-14,27.6,35.2,23.0,68,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-37
2022-02-15,27.0,33.2,22.7,71,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-36
2022-02-16,26.8,32.7,21.8,71,0.2,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-35
2022-02-17,27.4,33.1,23.0,66,0.1,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-34
2022-02-18,27.4,34.5,23.2,64,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-33
2022-02-19,27.9,36.6,22.6,64,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-32
2022-02-20,27.7,35.6,22.2,67,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-31
2022-02-21,27.5,35.2,22.6,70,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-30
2022-02-22,26.9,34.1,21.4,67,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-29
2022-02-23,28.0,35.5,22.8,68,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-28
2022-02-24,27.9,36.7,22.9,65,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-27
2022-02-25,27.9,37.1,22.6,68,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-26
2022-02-26,27.7,36.3,21.8,64,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-25
2022-02-27,28.4,37.5,23.2,68,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-24
2022-02-28,27.8,36.4,22.8,69,0.0,Dakshin Kannada,Acute Diarrhoeal Disease,12.8827367,75.0309089,2022-03-23,-23
