date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-29,29.1,33.9,25.0,81,1.1,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-45
2022-04-30,29.1,33.1,25.0,80,13.7,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-44
2022-05-01,28.2,31.9,25.6,86,11.3,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-43
2022-05-02,28.7,32.7,25.4,81,0.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-42
2022-05-03,29.3,33.3,25.7,77,0.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-41
2022-05-04,29.0,33.1,26.7,81,12.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-40
2022-05-05,27.7,31.1,24.1,85,5.5,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-39
2022-05-06,27.5,30.9,25.4,86,5.3,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-38
2022-05-07,28.6,32.4,25.0,81,1.3,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-37
2022-05-08,28.6,32.2,25.0,83,0.4,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-36
2022-05-09,28.6,32.6,26.2,83,1.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-35
2022-05-10,27.6,30.2,24.5,85,7.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-34
2022-05-11,24.9,26.6,23.7,96,22.1,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-33
2022-05-12,25.2,27.3,23.5,93,13.2,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-32
2022-05-13,26.5,29.6,23.7,89,9.4,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-31
2022-05-14,26.4,29.7,24.3,91,26.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-30
2022-05-15,27.1,31.1,24.5,88,2.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-29
2022-05-16,27.1,31.3,24.9,89,26.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-28
2022-05-17,25.6,29.0,24.0,94,39.5,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-27
2022-05-18,25.3,28.8,23.6,94,98.1,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-26
2022-05-19,24.0,24.5,23.2,93,341.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-25
2022-05-20,24.9,27.9,23.0,91,9.2,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-24
2022-05-21,26.1,29.9,22.7,88,2.1,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-23
2022-05-22,24.8,27.6,23.7,93,44.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-22
2022-05-23,26.0,30.3,23.4,91,6.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-21
2022-05-24,26.8,30.7,23.9,90,7.5,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-20
2022-05-25,27.2,31.2,24.1,89,4.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-19
2022-05-26,27.2,30.6,24.4,88,4.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-18
2022-05-27,27.1,30.2,24.3,86,2.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-17
2022-05-28,26.4,29.2,24.3,88,4.7,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-16
2022-05-29,26.6,30.5,23.6,86,0.4,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-15
2022-05-30,26.9,30.2,23.6,84,1.2,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-14
2022-05-31,26.3,29.4,23.9,87,3.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-13
2022-06-01,26.3,30.2,23.5,87,3.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-12
2022-06-02,26.4,29.3,23.9,86,8.4,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-11
2022-06-03,26.3,29.9,23.8,88,4.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-10
2022-06-04,27.4,30.6,24.1,83,0.0,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-9
2022-06-05,27.1,30.5,24.4,86,8.4,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-8
2022-06-06,26.7,29.9,24.3,88,15.0,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-7
2022-06-07,25.8,29.1,23.5,90,23.8,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-6
2022-06-08,26.0,29.6,23.8,89,10.9,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-5
2022-06-09,26.8,30.2,23.9,86,3.2,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-4
2022-06-10,25.7,28.5,24.1,91,8.6,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-3
2022-06-11,25.0,28.8,23.4,92,50.0,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-2
2022-06-12,24.4,27.2,23.2,94,38.0,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,-1
2022-06-13,25.1,28.3,22.9,91,29.2,Dakshina Kannada,Acute Diarrhoeal Disease,12.9324457,74.9813132,2022-06-13,0
