date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-12,24.4,31.0,18.6,42,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-45
2022-02-13,24.2,30.8,18.3,44,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-44
2022-02-14,24.6,31.0,17.9,41,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-43
2022-02-15,24.9,32.2,18.6,41,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-42
2022-02-16,24.3,30.9,17.7,54,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-41
2022-02-17,25.4,31.4,19.5,47,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-40
2022-02-18,26.7,33.4,21.1,35,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-39
2022-02-19,26.0,32.4,20.2,36,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-38
2022-02-20,26.0,32.8,19.7,36,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-37
2022-02-21,25.5,32.9,18.7,43,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-36
2022-02-22,25.9,34.0,17.4,39,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-35
2022-02-23,26.8,33.4,19.8,40,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-34
2022-02-24,26.2,32.9,20.3,33,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-33
2022-02-25,25.5,33.6,17.9,26,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-32
2022-02-26,25.6,33.2,18.0,25,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-31
2022-02-27,25.7,32.8,19.3,36,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-30
2022-02-28,25.8,32.8,19.2,31,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-29
2022-03-01,27.0,33.1,20.8,31,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-28
2022-03-02,26.8,33.7,20.0,23,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-27
2022-03-03,26.5,33.7,19.6,24,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-26
2022-03-04,26.9,33.9,20.3,25,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-25
2022-03-05,26.9,33.8,20.0,28,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-24
2022-03-06,27.2,33.5,20.7,33,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-23
2022-03-07,27.1,33.5,21.1,42,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-22
2022-03-08,28.1,34.0,22.3,43,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-21
2022-03-09,28.3,35.0,21.8,37,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-20
2022-03-10,27.5,34.9,19.8,47,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-19
2022-03-11,27.6,35.0,20.4,44,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-18
2022-03-12,27.6,34.2,20.7,32,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-17
2022-03-13,28.3,35.6,21.0,29,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-16
2022-03-14,28.7,35.5,22.1,31,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-15
2022-03-15,28.5,35.7,20.9,25,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-14
2022-03-16,27.9,36.4,19.6,46,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-13
2022-03-17,28.7,37.2,20.2,45,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-12
2022-03-18,28.3,36.4,21.3,55,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-11
2022-03-19,26.9,33.9,21.7,62,0.1,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-10
2022-03-20,26.2,31.7,21.9,64,0.8,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-9
2022-03-21,27.2,34.3,20.6,62,0.5,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-8
2022-03-22,28.0,33.5,23.8,62,0.2,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-7
2022-03-23,28.9,36.3,23.0,56,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-6
2022-03-24,27.5,33.4,23.0,63,0.0,Davanagere,Acute Diarrhoeal Disease,14.4661266,75.9206361,2022-03-29,-5
