date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-12-29,16.5,21.2,13.6,73,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-45
2021-12-30,15.9,22.3,11.3,68,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-44
2021-12-31,17.4,23.0,12.5,72,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-43
2022-01-01,18.6,24.0,14.0,78,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-42
2022-01-02,19.3,24.7,15.5,77,0.1,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-41
2022-01-03,19.3,24.9,15.2,75,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-40
2022-01-04,20.0,25.4,15.4,71,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-39
2022-01-05,21.4,26.2,16.8,65,0.2,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-38
2022-01-06,20.0,24.7,16.1,74,2.9,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-37
2022-01-07,19.1,24.0,15.2,82,13.6,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-36
2022-01-08,18.4,23.2,15.9,84,1.1,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-35
2022-01-09,16.1,21.6,12.4,59,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-34
2022-01-10,14.7,20.7,10.6,69,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-33
2022-01-11,14.5,21.5,9.4,74,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-32
2022-01-12,14.2,20.0,9.6,73,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-31
2022-01-13,14.7,21.2,9.4,71,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-30
2022-01-14,16.5,22.4,11.1,70,0.1,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-29
2022-01-15,16.3,22.2,11.2,71,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-28
2022-01-16,16.5,22.9,11.4,76,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-27
2022-01-17,17.6,23.6,12.5,78,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-26
2022-01-18,18.4,25.0,12.8,75,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-25
2022-01-19,18.2,23.8,12.0,69,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-24
2022-01-20,20.5,27.1,15.5,55,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-23
2022-01-21,20.5,26.2,15.2,67,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-22
2022-01-22,18.4,21.9,15.7,84,3.8,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-21
2022-01-23,16.3,21.1,12.4,63,0.2,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-20
2022-01-24,14.0,20.0,9.4,57,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-19
2022-01-25,14.3,20.4,9.3,59,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-18
2022-01-26,14.4,20.8,8.9,58,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-17
2022-01-27,14.5,20.9,9.1,52,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-16
2022-01-28,14.6,21.9,8.7,58,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-15
2022-01-29,16.7,23.6,10.3,55,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-14
2022-01-30,19.6,25.1,13.0,43,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-13
2022-01-31,19.3,27.1,12.9,49,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-12
2022-02-01,20.3,28.2,14.1,56,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-11
2022-02-02,20.7,27.2,15.0,58,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-10
2022-02-03,19.9,26.4,15.2,54,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-9
2022-02-04,18.2,24.0,12.0,41,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-8
2022-02-05,17.9,24.5,11.1,42,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-7
2022-02-06,18.9,25.8,12.3,47,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-6
2022-02-07,20.4,27.6,13.5,49,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-5
2022-02-08,20.7,27.2,14.0,53,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-4
2022-02-09,20.4,26.5,15.6,51,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-3
2022-02-10,19.4,25.3,14.8,54,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-2
2022-02-11,17.9,25.0,12.1,50,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,-1
2022-02-12,18.5,25.9,11.6,51,0.0,Dhar,Acute Diarrhoeal Disease,22.5,75.25,2022-02-12,0
