date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-11-20,22.7,26.6,19.9,91,9.5,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-45
2021-11-21,23.7,28.1,20.1,83,0.3,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-44
2021-11-22,23.1,28.1,19.6,88,6.9,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-43
2021-11-23,24.0,27.9,21.4,85,2.8,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-42
2021-11-24,23.4,27.3,20.3,81,0.3,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-41
2021-11-25,22.4,26.3,19.9,89,7.4,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-40
2021-11-26,22.2,24.9,20.4,90,3.7,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-39
2021-11-27,21.3,23.0,19.7,91,22.6,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-38
2021-11-28,21.8,24.8,20.2,94,6.3,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-37
2021-11-29,21.4,23.8,19.9,94,6.7,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-36
2021-11-30,21.9,25.7,19.6,90,2.7,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-35
2021-12-01,22.3,26.5,20.0,87,2.4,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-34
2021-12-02,23.2,27.0,20.6,83,0.8,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-33
2021-12-03,23.2,27.1,19.6,82,1.6,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-32
2021-12-04,22.7,26.7,19.7,88,12.9,Dharmapuri,Acute Diarrhoeal Disease,12.09680475,78.19304301,2022-01-04,-31
