date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-26,21.7,28.1,16.3,56,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-45
2020-12-27,21.8,28.7,16.0,56,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-44
2020-12-28,22.2,29.5,16.4,54,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-43
2020-12-29,22.0,28.5,16.5,50,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-42
2020-12-30,22.8,29.2,16.4,59,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-41
2020-12-31,23.5,28.9,19.1,65,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-40
2021-01-01,22.9,28.5,18.5,65,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-39
2021-01-02,21.4,27.8,15.7,58,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-38
2021-01-03,22.3,27.6,17.4,65,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-37
2021-01-04,22.1,25.6,19.6,80,4.6,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-36
2021-01-05,23.4,28.3,20.3,73,1.2,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-35
2021-01-06,22.9,27.8,19.2,76,1.5,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-34
2021-01-07,22.2,26.1,20.0,85,16.1,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-33
2021-01-08,21.9,27.3,19.4,86,9.4,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-32
2021-01-09,22.5,26.9,19.5,84,1.7,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-31
2021-01-10,22.8,27.7,19.0,72,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-30
2021-01-11,23.2,28.9,18.5,66,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-29
2021-01-12,23.0,28.5,18.2,56,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-28
2021-01-13,22.9,28.2,18.2,51,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-27
2021-01-14,22.5,29.2,16.9,56,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-26
2021-01-15,22.1,26.1,17.4,64,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-25
2021-01-16,23.6,29.2,18.6,61,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-24
2021-01-17,24.2,30.5,18.7,58,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-23
2021-01-18,24.0,30.0,18.1,51,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-22
2021-01-19,23.5,29.5,18.1,56,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-21
2021-01-20,23.3,29.7,17.0,50,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-20
2021-01-21,23.2,29.8,15.7,50,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-19
2021-01-22,23.2,30.3,17.0,55,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-18
2021-01-23,23.6,30.2,18.4,47,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-17
2021-01-24,23.5,29.5,17.5,49,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-16
2021-01-25,23.4,30.2,16.3,44,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-15
2021-01-26,23.4,29.6,16.0,41,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-14
2021-01-27,22.4,29.4,15.1,46,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-13
2021-01-28,22.5,28.8,16.6,49,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-12
2021-01-29,22.4,28.3,17.3,52,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-11
2021-01-30,22.8,29.4,16.9,46,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-10
2021-01-31,22.8,28.4,17.3,51,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-9
2021-02-01,23.0,29.0,18.1,45,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-8
2021-02-02,22.4,28.1,17.5,52,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-7
2021-02-03,22.1,28.3,16.8,51,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-6
2021-02-04,22.4,28.3,17.0,46,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-5
2021-02-05,22.5,28.7,17.1,45,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-4
2021-02-06,22.8,28.8,16.4,45,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-3
2021-02-07,22.7,29.0,17.2,40,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-2
2021-02-08,22.4,28.9,17.4,40,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,-1
2021-02-09,22.0,29.3,16.0,43,0.0,Dharwad,Dengue,15.4540505,75.0066516,2021-02-09,0
