date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-08,30.0,38.7,23.8,63,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-45
2022-04-09,30.5,38.4,24.7,66,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-44
2022-04-10,30.5,39.8,24.7,70,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-43
2022-04-11,30.7,40.0,24.9,67,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-42
2022-04-12,30.7,38.9,24.6,69,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-41
2022-04-13,31.1,40.5,24.8,68,0.1,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-40
2022-04-14,32.1,41.4,26.2,60,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-39
2022-04-15,32.3,40.3,26.6,61,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-38
2022-04-16,31.3,39.1,25.7,64,0.1,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-37
2022-04-17,31.6,40.6,25.0,58,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-36
2022-04-18,32.3,41.9,25.0,60,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-35
2022-04-19,30.8,38.8,24.8,70,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-34
2022-04-20,31.1,38.8,25.7,71,0.4,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-33
2022-04-21,30.8,37.7,26.7,74,1.2,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-32
2022-04-22,30.8,37.9,25.8,66,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-31
2022-04-23,32.3,39.8,26.1,57,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-30
2022-04-24,33.3,40.6,27.5,53,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-29
2022-04-25,32.4,41.5,25.8,60,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-28
2022-04-26,31.9,40.0,25.4,66,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-27
2022-04-27,31.6,39.9,25.6,68,0.1,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-26
2022-04-28,32.0,41.1,24.9,66,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-25
2022-04-29,32.1,41.3,24.9,64,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-24
2022-04-30,31.5,39.3,24.9,69,0.5,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-23
2022-05-01,30.6,36.2,26.2,77,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-22
2022-05-02,31.0,37.3,25.8,70,1.3,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-21
2022-05-03,30.5,39.6,26.3,73,17.8,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-20
2022-05-04,31.0,37.0,26.7,72,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-19
2022-05-05,29.7,36.1,27.0,78,17.2,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-18
2022-05-06,30.2,36.2,26.1,73,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-17
2022-05-07,29.9,34.9,25.8,73,0.3,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-16
2022-05-08,29.5,35.1,24.9,75,0.7,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-15
2022-05-09,28.7,32.3,25.5,78,0.1,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-14
2022-05-10,28.3,33.2,25.9,81,5.4,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-13
2022-05-11,28.6,32.2,25.6,79,3.4,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-12
2022-05-12,29.6,33.9,26.6,76,0.9,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-11
2022-05-13,30.6,36.7,26.8,71,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-10
2022-05-14,30.8,36.5,27.5,73,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-9
2022-05-15,31.1,36.6,27.6,73,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-8
2022-05-16,30.3,34.6,27.5,77,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-7
2022-05-17,31.2,37.6,27.4,72,0.0,Dhenkanal,Acute Diarrhoeal Disease,20.75,85.5,2022-05-23,-6
