date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-26,23.8,28.4,20.3,82,22.6,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-45
2022-04-27,22.5,27.3,19.7,87,20.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-44
2022-04-28,24.4,29.7,19.5,79,0.4,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-43
2022-04-29,24.1,28.3,21.3,84,17.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-42
2022-04-30,22.5,27.3,19.3,81,10.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-41
2022-05-01,24.0,29.6,18.6,78,0.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-40
2022-05-02,24.1,30.4,21.1,85,12.8,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-39
2022-05-03,22.2,25.3,20.3,86,15.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-38
2022-05-04,22.1,26.3,19.8,83,17.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-37
2022-05-05,24.7,30.2,19.1,74,0.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-36
2022-05-06,26.4,31.8,21.0,72,0.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-35
2022-05-07,27.7,33.2,21.6,73,0.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-34
2022-05-08,27.3,31.9,23.3,79,4.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-33
2022-05-09,27.2,32.4,23.0,80,4.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-32
2022-05-10,24.4,27.8,22.9,90,14.3,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-31
2022-05-11,23.9,25.8,22.4,91,22.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-30
2022-05-12,24.7,28.9,21.9,87,25.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-29
2022-05-13,23.5,24.5,22.5,95,63.5,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-28
2022-05-14,23.5,25.1,22.4,95,81.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-27
2022-05-15,23.3,24.7,22.2,94,53.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-26
2022-05-16,23.0,24.3,21.6,96,35.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-25
2022-05-17,22.4,23.3,21.8,95,65.5,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-24
2022-05-18,24.0,28.3,21.6,87,90.5,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-23
2022-05-19,22.3,24.6,21.0,93,71.5,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-22
2022-05-20,22.9,25.7,20.9,90,20.3,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-21
2022-05-21,22.3,23.8,20.8,94,23.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-20
2022-05-22,25.3,29.5,21.6,83,8.8,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-19
2022-05-23,26.6,31.4,22.2,81,1.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-18
2022-05-24,26.8,30.6,23.5,86,1.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-17
2022-05-25,26.8,31.4,24.9,87,7.3,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-16
2022-05-26,25.9,29.3,23.0,89,12.5,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-15
2022-05-27,25.0,29.0,22.6,89,4.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-14
2022-05-28,25.4,29.2,22.5,87,7.0,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-13
2022-05-29,27.9,31.8,22.4,77,0.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-12
2022-05-30,28.7,33.2,24.2,75,5.3,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-11
2022-05-31,28.3,33.2,24.3,82,12.9,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-10
2022-06-01,27.1,31.3,24.1,86,9.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-9
2022-06-02,27.1,30.9,24.3,85,3.1,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-8
2022-06-03,26.1,28.9,24.3,90,22.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-7
2022-06-04,26.5,31.2,24.2,87,3.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-6
2022-06-05,26.4,29.0,24.2,88,8.8,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-5
2022-06-06,26.7,30.4,24.0,87,11.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-4
2022-06-07,26.7,29.7,24.3,89,22.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-3
2022-06-08,25.7,28.7,24.1,92,41.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-2
2022-06-09,25.8,29.0,24.0,91,27.2,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,-1
2022-06-10,25.5,29.0,24.1,92,61.7,Dibrugarh,Acute Diarrhoeal Disease,27.4844597,94.9019447,2022-06-10,0
