date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-11-18,17.8,24.3,13.0,63,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-45
2021-11-19,17.0,22.7,12.2,67,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-44
2021-11-20,17.2,22.4,12.1,75,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-43
2021-11-21,18.0,22.6,14.1,79,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-42
2021-11-22,17.7,22.1,13.9,80,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-41
2021-11-23,17.5,21.8,13.5,82,0.8,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-40
2021-11-24,17.1,22.8,12.6,73,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-39
2021-11-25,16.2,21.5,11.7,69,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-38
2021-11-26,15.6,21.2,10.1,71,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-37
2021-11-27,16.9,22.5,12.5,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-36
2021-11-28,17.4,23.6,13.3,69,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-35
2021-11-29,17.5,23.5,12.7,65,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-34
2021-11-30,17.8,23.7,13.6,67,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-33
2021-12-01,18.1,24.4,13.3,65,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-32
2021-12-02,17.5,23.5,13.0,70,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-31
2021-12-03,17.6,23.1,13.5,70,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-30
2021-12-04,17.8,23.3,13.3,71,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-29
2021-12-05,18.7,23.3,14.3,67,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-28
2021-12-06,16.8,19.9,15.1,84,16.2,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-27
2021-12-07,16.4,18.7,12.8,94,11.9,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-26
2021-12-08,17.4,22.8,12.8,87,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-25
2021-12-09,17.7,22.9,14.1,83,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-24
2021-12-10,16.1,19.8,11.8,87,0.8,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-23
2021-12-11,14.5,20.7,8.3,79,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-22
2021-12-12,15.1,20.5,11.5,67,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-21
2021-12-13,14.8,21.0,10.3,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-20
2021-12-14,14.7,20.4,10.0,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-19
2021-12-15,14.3,19.7,10.0,73,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-18
2021-12-16,15.7,21.4,11.7,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-17
2021-12-17,15.6,22.0,12.0,68,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-16
2021-12-18,14.6,21.5,10.2,66,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-15
2021-12-19,13.9,20.1,8.8,62,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-14
2021-12-20,14.8,20.5,9.9,69,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-13
2021-12-21,15.1,20.8,11.4,69,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-12
2021-12-22,13.0,17.1,9.7,81,3.1,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-11
2021-12-23,12.5,18.0,7.7,84,0.5,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-10
2021-12-24,13.5,18.8,9.4,77,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-9
2021-12-25,13.6,18.7,10.2,76,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-8
2021-12-26,13.2,18.4,8.3,75,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-7
2021-12-27,13.5,18.9,9.5,72,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-6
2021-12-28,14.1,19.4,9.7,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-5
2021-12-29,14.7,18.9,11.9,68,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-4
2021-12-30,15.0,20.1,11.9,68,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-3
2021-12-31,14.3,20.0,9.3,74,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-2
2022-01-01,13.9,19.3,9.3,76,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,-1
2022-01-02,14.8,20.8,9.6,75,0.0,East Jaintia Hills,Acute Diarrhoeal Disease,25.25157605,92.48405007,2022-01-02,0
