date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-13,9.6,14.9,6.2,82,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-45
2020-12-14,9.1,15.2,4.2,75,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-44
2020-12-15,9.7,15.0,4.2,71,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-43
2020-12-16,9.4,15.9,4.7,70,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-42
2020-12-17,9.0,14.4,5.0,67,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-41
2020-12-18,6.6,11.9,2.0,80,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-40
2020-12-19,7.4,12.9,2.2,55,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-39
2020-12-20,7.1,14.2,1.5,52,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-38
2020-12-21,9.1,14.2,3.2,44,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-37
2020-12-22,8.5,13.5,3.9,77,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-36
2020-12-23,8.4,13.8,2.6,72,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-35
2020-12-24,9.3,14.3,3.7,74,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-34
2020-12-25,7.6,14.7,2.7,72,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-33
2020-12-26,7.6,14.3,0.9,64,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-32
2020-12-27,8.1,13.9,1.4,64,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-31
2020-12-28,7.9,14.2,3.2,78,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-30
2020-12-29,7.8,14.2,2.1,73,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-29
2020-12-30,8.9,15.6,3.5,69,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-28
2020-12-31,10.4,16.1,4.1,59,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-27
2021-01-01,8.4,15.6,3.0,55,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-26
2021-01-02,9.4,15.2,2.1,47,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-25
2021-01-03,9.5,16.0,2.0,56,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-24
2021-01-04,11.1,18.6,4.7,57,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-23
2021-01-05,13.0,20.0,6.8,47,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-22
2021-01-06,13.0,18.7,9.2,51,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-21
2021-01-07,11.0,17.1,7.0,72,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-20
2021-01-08,10.0,16.7,5.1,78,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-19
2021-01-09,10.1,16.0,5.3,79,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-18
2021-01-10,9.8,15.5,5.8,84,0.0,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-17
2021-01-11,9.7,14.6,5.7,85,0.4,East Khasi Hills,Acute Diarrhoeal Disease,25.40237355,91.83254097,2021-01-27,-16
