date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-07,23.7,31.4,17.0,56,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-45
2022-03-08,23.7,32.2,16.0,51,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-44
2022-03-09,24.4,32.5,16.3,49,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-43
2022-03-10,24.5,32.7,16.8,48,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-42
2022-03-11,25.1,33.3,17.2,50,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-41
2022-03-12,24.9,32.5,17.9,50,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-40
2022-03-13,25.1,33.0,17.4,47,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-39
2022-03-14,25.7,34.3,18.3,46,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-38
2022-03-15,26.7,35.0,17.8,47,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-37
2022-03-16,27.9,36.2,19.5,46,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-36
2022-03-17,27.8,36.5,19.8,58,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-35
2022-03-18,28.9,36.4,22.8,55,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-34
2022-03-19,28.7,36.4,21.3,45,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-33
2022-03-20,28.9,37.7,20.7,42,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-32
2022-03-21,29.3,36.8,21.9,50,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-31
2022-03-22,29.1,37.0,20.9,50,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-30
2022-03-23,28.7,37.2,20.2,48,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-29
2022-03-24,28.5,38.4,20.0,38,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-28
2022-03-25,29.1,37.9,22.3,53,0.0,East Singhbhum,Malaria,22.8092139,86.2091549,2022-04-21,-27
