date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-11-09,25.3,27.6,23.5,89,2.1,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-45
2021-11-10,25.2,27.8,22.9,83,1.5,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-44
2021-11-11,26.0,28.6,23.2,85,1.7,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-43
2021-11-12,25.3,27.3,23.6,91,9.6,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-42
2021-11-13,25.2,27.3,24.0,91,41.7,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-41
2021-11-14,24.8,25.6,24.0,93,54.9,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-40
2021-11-15,25.0,26.7,24.0,92,44.1,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-39
2021-11-16,24.8,27.4,23.3,92,18.3,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-38
2021-11-17,25.7,28.7,23.3,89,3.2,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-37
2021-11-18,25.3,27.0,23.6,92,9.8,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-36
2021-11-19,25.0,27.5,23.6,91,12.5,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-35
2021-11-20,25.3,27.3,23.2,89,15.7,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-34
2021-11-21,25.9,29.2,22.9,82,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-33
2021-11-22,25.9,28.3,22.9,86,0.5,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-32
2021-11-23,25.6,27.9,23.4,90,17.6,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-31
2021-11-24,25.6,28.1,23.7,91,0.6,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-30
2021-11-25,25.5,27.9,23.6,90,6.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-29
2021-11-26,25.5,27.9,23.6,90,7.5,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-28
2021-11-27,25.5,28.8,23.3,91,4.9,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-27
2021-11-28,25.2,27.8,23.8,91,12.6,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-26
2021-11-29,25.4,27.9,23.3,90,5.8,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-25
2021-11-30,25.1,28.3,22.7,92,38.7,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-24
2021-12-01,25.7,28.8,23.0,88,7.9,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-23
2021-12-02,25.7,28.7,22.8,89,0.6,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-22
2021-12-03,25.9,28.6,23.9,91,3.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-21
2021-12-04,25.6,28.0,23.8,90,7.5,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-20
2021-12-05,25.9,28.7,23.7,90,1.1,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-19
2021-12-06,25.7,28.2,23.3,91,1.7,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-18
2021-12-07,26.4,29.0,23.5,89,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-17
2021-12-08,26.6,29.9,24.2,89,0.4,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-16
2021-12-09,26.4,28.7,23.8,89,0.3,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-15
2021-12-10,26.5,29.4,23.5,87,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-14
2021-12-11,26.3,29.0,23.0,85,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-13
2021-12-12,26.5,29.2,23.4,84,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-12
2021-12-13,26.8,29.5,23.9,84,0.2,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-11
2021-12-14,26.6,29.3,23.9,83,3.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-10
2021-12-15,26.5,29.0,23.8,83,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-9
2021-12-16,26.5,28.7,23.3,80,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-8
2021-12-17,26.2,29.2,23.1,81,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-7
2021-12-18,26.5,29.3,23.4,83,0.2,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-6
2021-12-19,26.3,30.0,23.2,77,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-5
2021-12-20,25.9,29.6,22.5,73,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-4
2021-12-21,25.7,29.2,22.6,75,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-3
2021-12-22,25.4,29.0,22.1,83,0.0,Ernakulam,Acute Diarrhoeal Disease,9.98408,76.2741457,2021-12-24,-2
