date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-12-10,16.8,23.4,11.2,67,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-45
2021-12-11,16.5,23.2,12.3,72,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-44
2021-12-12,15.7,22.4,10.3,72,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-43
2021-12-13,15.6,22.6,8.8,68,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-42
2021-12-14,16.2,23.6,9.2,67,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-41
2021-12-15,17.1,24.2,11.6,70,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-40
2021-12-16,17.7,24.5,12.1,72,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-39
2021-12-17,18.0,22.2,14.7,65,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-38
2021-12-18,13.6,19.1,9.4,53,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-37
2021-12-19,12.4,18.3,7.9,67,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-36
2021-12-20,12.2,19.3,6.5,70,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-35
2021-12-21,12.7,20.5,6.1,70,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-34
2021-12-22,13.5,21.3,7.4,70,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-33
2021-12-23,16.1,22.3,10.1,62,0.0,Fatehpur,Acute Encephalitis Syndrome,25.8435395,80.91800397,2022-01-24,-32
