date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-20,20.1,27.7,14.3,64,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-45
2022-01-21,21.3,28.0,15.7,76,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-44
2022-01-22,21.4,25.7,16.5,64,0.7,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-43
2022-01-23,15.9,21.0,11.4,52,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-42
2022-01-24,14.7,21.9,8.3,52,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-41
2022-01-25,15.5,22.5,9.4,56,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-40
2022-01-26,15.3,22.5,9.0,59,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-39
2022-01-27,16.2,23.2,11.4,53,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-38
2022-01-28,16.1,23.8,11.0,51,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-37
2022-01-29,16.9,25.9,9.4,54,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-36
2022-01-30,17.6,26.8,9.3,57,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-35
2022-01-31,18.8,26.8,12.4,66,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-34
2022-02-01,20.8,28.8,13.9,71,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-33
2022-02-02,21.0,29.4,13.3,64,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-32
2022-02-03,20.4,27.3,14.9,53,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-31
2022-02-04,18.4,26.2,10.1,48,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-30
2022-02-05,18.9,26.9,10.1,48,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-29
2022-02-06,19.1,28.5,11.0,48,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-28
2022-02-07,19.6,27.6,12.6,56,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-27
2022-02-08,20.3,27.8,13.2,66,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-26
2022-02-09,21.3,27.5,16.5,51,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-25
2022-02-10,20.5,27.2,15.6,49,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-24
2022-02-11,19.4,26.7,14.7,46,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-23
2022-02-12,19.5,27.7,13.2,44,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-22
2022-02-13,19.6,28.6,12.2,46,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-21
2022-02-14,21.3,29.3,13.8,43,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-20
2022-02-15,21.8,29.1,15.4,42,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-19
2022-02-16,22.3,29.6,15.4,45,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-18
2022-02-17,22.2,30.3,15.1,37,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-17
2022-02-18,23.4,30.8,16.6,38,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-16
2022-02-19,24.8,32.2,18.6,33,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-15
2022-02-20,23.1,31.2,16.0,29,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-14
2022-02-21,23.7,32.2,16.8,35,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-13
2022-02-22,23.5,33.0,15.6,43,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-12
2022-02-23,23.2,31.2,16.3,52,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-11
2022-02-24,25.1,32.9,17.1,36,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-10
2022-02-25,24.1,33.1,15.2,33,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-9
2022-02-26,23.6,31.9,16.4,34,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-8
2022-02-27,23.9,32.8,16.3,34,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-7
2022-02-28,24.8,32.5,19.6,40,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-6
2022-03-01,24.7,33.3,17.3,38,0.0,Gandhinagar,Acute Diarrhoeal Disease,23.2232877,72.6492267,2022-03-06,-5
