date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-25,25.0,28.0,22.4,78,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-45
2022-02-26,24.0,27.6,20.5,84,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-44
2022-02-27,24.3,28.5,19.9,79,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-43
2022-02-28,24.7,29.3,19.1,78,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-42
2022-03-01,24.4,29.0,19.4,78,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-41
2022-03-02,24.2,28.9,19.9,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-40
2022-03-03,24.8,29.6,20.0,82,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-39
2022-03-04,24.9,29.6,20.9,80,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-38
2022-03-05,25.8,31.2,21.8,73,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-37
2022-03-06,25.5,30.6,20.5,67,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-36
2022-03-07,25.2,29.2,20.1,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-35
2022-03-08,25.5,29.4,20.9,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-34
2022-03-09,26.5,31.0,22.1,74,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-33
2022-03-10,26.4,31.5,22.1,73,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-32
2022-03-11,26.5,31.2,21.2,70,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-31
2022-03-12,26.1,30.5,20.4,73,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-30
2022-03-13,26.7,31.7,20.8,69,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-29
2022-03-14,26.4,32.6,19.8,68,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-28
2022-03-15,27.2,32.8,20.7,66,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-27
2022-03-16,28.1,32.1,24.1,67,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-26
2022-03-17,27.6,30.2,25.5,79,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-25
2022-03-18,27.1,30.3,25.1,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-24
2022-03-19,27.4,31.7,24.6,72,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-23
2022-03-20,27.4,31.0,23.9,76,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-22
2022-03-21,28.2,31.9,26.0,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-21
2022-03-22,28.5,32.5,26.4,83,0.1,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-20
2022-03-23,28.1,30.7,26.3,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-19
2022-03-24,28.2,31.1,26.3,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-18
2022-03-25,28.2,31.1,25.9,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-17
2022-03-26,28.9,32.3,26.7,80,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-16
2022-03-27,29.0,33.0,26.7,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-15
2022-03-28,28.8,32.4,26.7,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-14
2022-03-29,28.5,31.5,26.6,84,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-13
2022-03-30,28.6,31.5,26.7,84,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-12
2022-03-31,28.8,31.5,27.2,84,0.1,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-11
2022-04-01,28.7,31.5,27.2,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-10
2022-04-02,28.6,31.2,26.9,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-9
2022-04-03,28.8,32.0,27.0,82,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-8
2022-04-04,28.6,31.1,27.1,80,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-7
2022-04-05,28.4,30.9,26.9,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-6
2022-04-06,28.1,30.5,26.6,82,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-5
2022-04-07,27.9,30.5,26.2,83,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-4
2022-04-08,28.1,31.3,26.0,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-3
2022-04-09,28.5,31.5,26.5,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-2
2022-04-10,28.6,31.6,26.8,82,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,-1
2022-04-11,28.5,31.4,26.6,81,0.0,Ganjam,Acute Diarrhoeal Disease,19.4129711,85.04710406,2022-04-11,0
