date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-07,25.2,29.2,20.1,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-45
2022-03-08,25.5,29.4,20.9,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-44
2022-03-09,26.5,31.0,22.1,74,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-43
2022-03-10,26.4,31.5,22.1,73,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-42
2022-03-11,26.5,31.2,21.2,70,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-41
2022-03-12,26.1,30.5,20.4,73,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-40
2022-03-13,26.7,31.7,20.8,69,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-39
2022-03-14,26.4,32.6,19.8,68,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-38
2022-03-15,27.2,32.8,20.7,66,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-37
2022-03-16,28.1,32.1,24.1,67,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-36
2022-03-17,27.6,30.2,25.5,79,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-35
2022-03-18,27.1,30.3,25.1,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-34
2022-03-19,27.4,31.7,24.6,72,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-33
2022-03-20,27.4,31.0,23.9,76,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-32
2022-03-21,28.2,31.9,26.0,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-31
2022-03-22,28.5,32.5,26.4,83,0.1,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-30
2022-03-23,28.1,30.7,26.3,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-29
2022-03-24,28.2,31.1,26.3,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-28
2022-03-25,28.2,31.1,25.9,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-27
2022-03-26,28.9,32.3,26.7,80,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-26
2022-03-27,29.0,33.0,26.7,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-25
2022-03-28,28.8,32.4,26.7,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-24
2022-03-29,28.5,31.5,26.6,84,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-23
2022-03-30,28.6,31.5,26.7,84,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-22
2022-03-31,28.8,31.5,27.2,84,0.1,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-21
2022-04-01,28.7,31.5,27.2,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-20
2022-04-02,28.6,31.2,26.9,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-19
2022-04-03,28.8,32.0,27.0,82,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-18
2022-04-04,28.6,31.1,27.1,80,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-17
2022-04-05,28.4,30.9,26.9,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-16
2022-04-06,28.1,30.5,26.6,82,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-15
2022-04-07,27.9,30.5,26.2,83,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-14
2022-04-08,28.1,31.3,26.0,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-13
2022-04-09,28.5,31.5,26.5,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-12
2022-04-10,28.6,31.6,26.8,82,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-11
2022-04-11,28.5,31.4,26.6,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-10
2022-04-12,28.7,31.5,26.9,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-9
2022-04-13,28.8,31.9,26.9,80,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-8
2022-04-14,29.2,32.2,27.3,78,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-7
2022-04-15,29.3,32.2,27.3,80,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-6
2022-04-16,29.3,32.4,27.6,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-5
2022-04-17,29.1,31.9,27.2,80,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-4
2022-04-18,29.4,32.6,27.2,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-3
2022-04-19,29.2,32.1,27.3,82,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-2
2022-04-20,29.3,32.3,27.6,82,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,-1
2022-04-21,29.2,31.8,27.7,81,0.0,Ganjam,Cholera,19.4129711,85.04710406,2022-04-21,0
