date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-29,31.0,39.7,21.1,23,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-45
2022-03-30,31.4,40.2,22.0,24,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-44
2022-03-31,31.4,41.2,21.5,22,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-43
2022-04-01,31.8,40.9,22.8,27,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-42
2022-04-02,31.5,39.4,22.3,35,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-41
2022-04-03,31.1,39.5,23.3,38,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-40
2022-04-04,31.8,39.9,23.4,31,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-39
2022-04-05,32.2,39.2,25.1,34,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-38
2022-04-06,31.9,39.6,25.0,35,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-37
2022-04-07,31.7,39.0,25.2,38,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-36
2022-04-08,31.9,39.3,25.3,38,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-35
2022-04-09,32.3,39.7,25.8,36,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-34
2022-04-10,32.2,40.4,24.5,36,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-33
2022-04-11,32.6,39.8,26.0,37,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-32
2022-04-12,33.0,41.0,25.8,35,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-31
2022-04-13,33.1,40.3,26.4,33,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-30
2022-04-14,32.7,39.3,27.2,36,0.1,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-29
2022-04-15,33.1,40.3,26.4,34,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-28
2022-04-16,31.9,40.2,26.0,39,0.1,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-27
2022-04-17,31.6,39.0,24.1,41,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-26
2022-04-18,32.5,40.5,24.8,38,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-25
2022-04-19,33.6,41.4,25.2,29,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-24
2022-04-20,33.7,41.3,26.5,32,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-23
2022-04-21,32.8,40.3,26.9,37,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-22
2022-04-22,29.9,34.9,24.7,54,1.4,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-21
2022-04-23,30.6,38.4,24.4,48,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-20
2022-04-24,31.8,39.4,25.3,40,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-19
2022-04-25,32.3,40.7,24.5,34,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-18
2022-04-26,32.5,40.6,24.7,32,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-17
2022-04-27,33.1,40.8,25.4,31,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-16
2022-04-28,33.3,41.5,24.6,33,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-15
2022-04-29,33.0,40.7,25.0,33,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-14
2022-04-30,34.1,42.2,27.4,26,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-13
2022-05-01,34.2,41.8,27.2,26,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-12
2022-05-02,34.0,40.9,27.4,34,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-11
2022-05-03,33.2,41.1,26.9,36,0.1,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-10
2022-05-04,32.9,39.6,26.7,40,0.0,Gariyaband,Acute Diarrhoeal Disease,20.52684285,82.187831,2022-05-13,-9
