date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-01,21.5,26.9,18.0,80,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-45
2020-12-02,21.1,26.1,15.8,79,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-44
2020-12-03,20.7,25.3,16.9,80,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-43
2020-12-04,21.3,24.6,17.7,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-42
2020-12-05,20.3,24.0,17.2,87,1.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-41
2020-12-06,20.3,23.9,17.9,83,0.2,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-40
2020-12-07,20.0,23.2,17.7,83,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-39
2020-12-08,20.3,24.4,17.1,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-38
2020-12-09,19.7,24.3,15.8,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-37
2020-12-10,19.0,24.2,15.1,86,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-36
2020-12-11,19.2,23.0,15.7,86,0.4,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-35
2020-12-12,19.6,23.9,15.7,85,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-34
2020-12-13,19.6,23.0,17.3,84,0.3,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-33
2020-12-14,19.1,22.6,16.6,88,0.3,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-32
2020-12-15,18.4,22.6,15.2,86,0.4,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-31
2020-12-16,18.2,23.0,14.4,87,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-30
2020-12-17,17.9,22.6,13.8,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-29
2020-12-18,16.7,20.8,11.9,75,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-28
2020-12-19,15.8,21.3,11.1,82,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-27
2020-12-20,16.9,22.4,12.6,80,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-26
2020-12-21,17.1,22.7,13.9,84,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-25
2020-12-22,17.5,22.5,12.9,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-24
2020-12-23,17.9,22.5,13.4,80,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-23
2020-12-24,18.0,22.8,13.5,77,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-22
2020-12-25,17.0,22.2,13.6,85,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-21
2020-12-26,17.2,22.7,13.2,81,0.0,Goalpara,Acute Diarrhoeal Disease,26.1783623,90.6226683,2021-01-15,-20
