date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-29,35.3,42.7,26.9,24,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-45
2022-04-30,35.8,42.7,28.9,17,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-44
2022-05-01,35.2,41.8,28.1,21,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-43
2022-05-02,35.4,42.1,29.5,25,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-42
2022-05-03,34.4,41.7,27.8,31,0.1,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-41
2022-05-04,34.2,41.1,27.6,33,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-40
2022-05-05,34.2,40.8,28.5,30,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-39
2022-05-06,32.9,39.7,25.2,26,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-38
2022-05-07,32.8,38.8,26.2,32,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-37
2022-05-08,34.4,41.3,26.5,23,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-36
2022-05-09,34.4,41.8,27.2,22,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-35
2022-05-10,34.0,42.0,28.2,33,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-34
2022-05-11,34.0,40.6,28.2,44,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-33
2022-05-12,33.8,40.1,28.9,49,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-32
2022-05-13,34.9,40.8,29.3,42,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-31
2022-05-14,36.3,42.7,30.6,35,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-30
2022-05-15,36.1,42.6,31.1,34,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-29
2022-05-16,34.9,41.5,29.5,41,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-28
2022-05-17,35.0,41.1,30.0,36,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-27
2022-05-18,34.0,40.4,28.6,48,0.2,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-26
2022-05-19,32.8,38.2,28.1,50,0.1,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-25
2022-05-20,34.6,41.0,28.6,46,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-24
2022-05-21,36.2,42.8,30.6,32,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-23
2022-05-22,34.3,40.0,29.8,33,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-22
2022-05-23,33.1,39.1,27.7,37,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-21
2022-05-24,29.6,35.6,25.3,53,1.8,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-20
2022-05-25,32.0,38.8,25.5,41,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-19
2022-05-26,32.5,38.5,25.9,42,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-18
2022-05-27,33.0,39.7,27.0,39,0.2,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-17
2022-05-28,33.3,39.2,25.5,34,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-16
2022-05-29,34.1,40.1,28.5,35,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-15
2022-05-30,31.8,39.0,27.8,49,1.5,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-14
2022-05-31,33.2,40.3,27.8,43,0.3,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-13
2022-06-01,33.8,40.8,27.2,36,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-12
2022-06-02,34.4,41.1,26.2,33,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-11
2022-06-03,35.3,42.1,28.0,30,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-10
2022-06-04,36.6,42.0,29.2,27,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-9
2022-06-05,36.3,42.4,30.1,26,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-8
2022-06-06,35.2,42.2,28.1,30,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-7
2022-06-07,35.3,42.8,29.3,28,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-6
2022-06-08,36.0,42.3,28.8,25,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-5
2022-06-09,35.3,40.9,30.3,34,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-4
2022-06-10,33.8,39.5,27.4,42,0.1,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-3
2022-06-11,31.7,38.3,27.4,54,0.6,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-2
2022-06-12,30.8,35.4,26.3,58,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,-1
2022-06-13,33.0,37.6,28.5,50,0.0,Gondia,Malaria,21.455228,80.1962729,2022-06-13,0
