date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-15,31.1,38.6,23.4,20,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-45
2022-04-16,31.0,39.2,22.4,20,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-44
2022-04-17,32.0,40.4,22.6,19,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-43
2022-04-18,32.7,40.8,24.1,21,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-42
2022-04-19,33.6,41.5,24.2,18,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-41
2022-04-20,32.9,40.5,26.3,20,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-40
2022-04-21,30.9,36.5,26.2,25,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-39
2022-04-22,30.4,38.1,22.8,29,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-38
2022-04-23,30.5,38.7,21.6,23,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-37
2022-04-24,30.9,39.4,22.1,21,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-36
2022-04-25,31.6,40.1,22.8,23,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-35
2022-04-26,32.3,40.1,23.3,22,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-34
2022-04-27,32.3,40.9,23.0,20,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-33
2022-04-28,34.1,42.7,23.9,18,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-32
2022-04-29,35.2,42.9,27.8,15,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-31
2022-04-30,34.9,43.3,27.3,16,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-30
2022-05-01,33.6,42.0,26.6,28,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-29
2022-05-02,32.8,40.6,26.7,35,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-28
2022-05-03,33.2,40.2,26.5,40,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-27
2022-05-04,31.6,39.7,26.6,43,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-26
2022-05-05,30.8,38.1,23.6,46,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-25
2022-05-06,32.0,38.7,25.6,35,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-24
2022-05-07,32.1,39.3,24.2,31,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-23
2022-05-08,33.0,40.2,26.2,33,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-22
2022-05-09,33.4,40.3,27.3,44,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-21
2022-05-10,33.3,39.0,28.3,45,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-20
2022-05-11,34.1,40.7,28.1,43,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-19
2022-05-12,35.0,42.1,28.9,41,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-18
2022-05-13,34.9,43.5,27.7,41,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-17
2022-05-14,35.9,43.5,27.4,26,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-16
2022-05-15,36.9,44.9,28.7,15,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-15
2022-05-16,35.9,41.9,31.7,21,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-14
2022-05-17,33.5,39.4,27.2,36,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-13
2022-05-18,34.8,41.8,28.0,32,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-12
2022-05-19,35.3,42.9,27.4,29,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-11
2022-05-20,36.5,44.2,28.2,21,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-10
2022-05-21,34.6,39.9,28.6,28,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-9
2022-05-22,33.3,39.9,25.3,32,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-8
2022-05-23,26.4,32.5,21.6,65,23.3,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-7
2022-05-24,27.2,33.6,21.0,64,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-6
2022-05-25,28.4,33.8,23.1,59,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-5
2022-05-26,30.0,36.4,23.7,50,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-4
2022-05-27,31.4,38.3,25.6,50,0.6,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-3
2022-05-28,33.3,40.1,27.6,46,0.4,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-2
2022-05-29,33.6,40.6,27.9,44,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,-1
2022-05-30,33.2,40.9,27.6,45,0.0,Gurugram,Acute Diarrhoeal Disease,28.4646148,77.0299194,2022-05-30,0
