date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-31,15.9,24.4,9.8,70,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-45
2022-02-01,17.2,25.2,10.5,74,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-44
2022-02-02,16.3,24.0,10.0,77,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-43
2022-02-03,17.4,25.4,12.3,64,0.1,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-42
2022-02-04,14.6,20.5,10.2,64,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-41
2022-02-05,13.8,20.3,9.0,70,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-40
2022-02-06,14.3,22.5,7.7,69,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-39
2022-02-07,16.7,25.3,9.7,67,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-38
2022-02-08,18.0,25.4,11.5,67,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-37
2022-02-09,16.6,21.8,13.1,80,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-36
2022-02-10,15.4,21.0,12.0,76,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-35
2022-02-11,15.4,22.2,10.6,62,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-34
2022-02-12,16.2,22.7,10.3,58,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-33
2022-02-13,16.1,24.0,8.6,54,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-32
2022-02-14,17.0,24.6,10.5,52,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-31
2022-02-15,17.1,24.8,10.9,55,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-30
2022-02-16,18.2,26.2,11.7,50,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-29
2022-02-17,19.1,27.1,12.8,45,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-28
2022-02-18,19.9,28.3,12.6,43,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-27
2022-02-19,20.1,27.6,13.1,50,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-26
2022-02-20,19.9,26.6,13.6,47,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-25
2022-02-21,19.5,26.6,12.1,40,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-24
2022-02-22,21.7,29.7,14.8,45,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-23
2022-02-23,21.6,29.4,13.9,55,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-22
2022-02-24,20.9,28.2,14.5,62,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-21
2022-02-25,21.4,28.4,14.8,53,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-20
2022-02-26,21.6,28.6,16.4,52,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-19
2022-02-27,19.6,25.9,13.8,66,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-18
2022-02-28,18.6,25.3,12.8,55,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-17
2022-03-01,19.9,26.9,12.9,51,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-16
2022-03-02,21.2,28.0,15.3,48,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-15
2022-03-03,21.6,29.5,14.1,47,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-14
2022-03-04,21.5,28.4,15.3,56,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-13
2022-03-05,20.1,27.4,14.6,59,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-12
2022-03-06,21.3,29.0,14.4,55,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-11
2022-03-07,22.4,30.0,16.6,48,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-10
2022-03-08,22.5,30.5,15.4,53,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-9
2022-03-09,24.4,31.2,17.3,47,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-8
2022-03-10,24.1,30.3,17.7,47,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-7
2022-03-11,23.6,31.0,16.8,48,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-6
2022-03-12,23.8,31.1,16.8,45,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-5
2022-03-13,24.7,33.4,15.8,47,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-4
2022-03-14,26.6,34.7,18.1,46,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-3
2022-03-15,28.7,36.2,20.7,44,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-2
2022-03-16,28.4,37.1,21.0,41,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,-1
2022-03-17,28.6,36.3,20.9,46,0.0,Gwalior,Acute Diarrhoeal Disease,26.2037247,78.1573628,2022-03-17,0
