date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-18,21.8,27.0,18.3,68,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-45
2020-12-19,20.6,26.5,15.7,71,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-44
2020-12-20,20.1,24.9,16.5,70,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-43
2020-12-21,19.2,25.8,15.1,65,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-42
2020-12-22,19.6,26.8,13.5,67,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-41
2020-12-23,21.0,27.1,15.0,73,0.1,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-40
2020-12-24,22.2,27.6,16.9,72,0.8,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-39
2020-12-25,21.9,27.5,16.7,66,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-38
2020-12-26,20.2,27.0,14.9,64,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-37
2020-12-27,20.4,28.3,13.5,59,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-36
2020-12-28,20.5,27.8,14.4,59,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-35
2020-12-29,22.0,28.6,14.9,59,0.9,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-34
2020-12-30,22.9,28.9,17.5,72,0.1,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-33
2020-12-31,21.3,27.4,18.9,79,5.9,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-32
2021-01-01,20.3,26.3,15.9,69,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-31
2021-01-02,20.2,27.3,14.4,72,0.0,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-30
2021-01-03,21.4,26.3,17.7,80,1.7,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-29
2021-01-04,21.1,25.3,19.0,84,0.4,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-28
2021-01-05,22.0,26.9,17.6,75,0.3,Hassan,Acute Diarrhoeal Disease,13.0070817,76.0992703,2021-02-01,-27
