date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-01,23.7,31.3,16.7,51,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-45
2022-02-02,24.1,32.0,16.9,48,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-44
2022-02-03,23.4,31.4,17.2,64,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-43
2022-02-04,22.3,29.7,16.1,67,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-42
2022-02-05,22.6,31.1,16.8,67,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-41
2022-02-06,23.3,31.8,16.5,67,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-40
2022-02-07,23.5,30.9,17.1,67,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-39
2022-02-08,23.8,31.6,17.0,66,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-38
2022-02-09,24.5,31.7,17.5,58,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-37
2022-02-10,24.5,31.7,17.5,53,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-36
2022-02-11,25.1,31.3,19.7,39,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-35
2022-02-12,24.0,30.7,18.3,43,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-34
2022-02-13,24.1,30.8,17.9,48,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-33
2022-02-14,24.4,31.5,17.5,45,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-32
2022-02-15,24.5,31.9,18.1,49,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-31
2022-02-16,24.0,31.1,17.1,54,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-30
2022-02-17,25.2,31.9,18.8,46,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-29
2022-02-18,26.0,32.7,20.3,38,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-28
2022-02-19,25.6,32.2,19.9,39,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-27
2022-02-20,25.5,33.4,18.3,37,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-26
2022-02-21,25.6,33.7,17.7,44,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-25
2022-02-22,25.6,33.8,17.4,40,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-24
2022-02-23,26.4,33.2,19.5,43,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-23
2022-02-24,25.9,33.0,20.3,35,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-22
2022-02-25,25.4,33.7,18.1,26,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-21
2022-02-26,25.0,33.3,17.7,24,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-20
2022-02-27,25.8,33.1,19.0,33,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-19
2022-02-28,26.0,33.1,19.2,28,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-18
2022-03-01,26.2,33.9,18.1,33,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-17
2022-03-02,26.4,33.5,19.9,26,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-16
2022-03-03,26.3,33.8,19.0,23,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-15
2022-03-04,26.3,33.9,19.8,26,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-14
2022-03-05,26.8,34.0,20.1,28,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-13
2022-03-06,27.0,34.4,20.0,31,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-12
2022-03-07,27.2,33.7,20.7,40,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-11
2022-03-08,27.9,33.6,22.1,44,0.1,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-10
2022-03-09,27.6,35.2,20.9,53,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-9
2022-03-10,27.2,34.9,19.7,54,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-8
2022-03-11,27.4,34.3,19.6,49,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-7
2022-03-12,27.9,34.6,20.7,32,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-6
2022-03-13,28.6,35.1,20.9,31,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-5
2022-03-14,28.9,35.9,21.3,30,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-4
2022-03-15,27.9,35.8,19.1,35,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-3
2022-03-16,27.9,37.0,19.3,50,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-2
2022-03-17,28.4,37.3,20.3,53,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,-1
2022-03-18,28.0,37.0,20.8,61,0.0,Haveri,Acute Diarrhoeal Disease,14.7874825,75.3996731,2022-03-18,0
