date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-20,21.7,27.2,18.1,80,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-45
2021-01-21,20.1,26.1,14.9,63,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-44
2021-01-22,18.2,25.4,12.1,66,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-43
2021-01-23,17.9,25.0,12.3,68,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-42
2021-01-24,19.3,26.8,12.2,72,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-41
2021-01-25,20.4,25.7,16.8,85,0.2,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-40
2021-01-26,19.6,25.5,15.3,71,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-39
2021-01-27,17.9,23.7,13.3,69,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-38
2021-01-28,16.7,23.8,11.8,68,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-37
2021-01-29,17.4,24.9,10.9,70,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-36
2021-01-30,17.2,22.3,13.5,70,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-35
2021-01-31,15.8,22.8,10.6,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-34
2021-02-01,15.8,22.8,9.5,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-33
2021-02-02,16.3,24.1,9.8,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-32
2021-02-03,17.1,25.3,10.3,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-31
2021-02-04,18.4,26.4,11.6,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-30
2021-02-05,19.7,27.4,12.0,62,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-29
2021-02-06,20.6,27.5,13.3,60,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-28
2021-02-07,19.5,25.6,14.4,62,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-27
2021-02-08,19.2,26.8,12.7,59,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-26
2021-02-09,19.1,27.4,12.1,63,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-25
2021-02-10,20.1,27.9,12.7,62,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-24
2021-02-11,21.1,29.1,14.3,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-23
2021-02-12,21.1,29.2,14.6,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-22
2021-02-13,21.7,29.5,15.0,67,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-21
2021-02-14,22.6,30.0,16.3,71,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-20
2021-02-15,22.7,29.8,17.3,67,0.1,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-19
2021-02-16,22.8,30.2,16.0,59,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-18
2021-02-17,23.0,30.0,17.5,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-17
2021-02-18,23.2,29.3,17.5,63,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-16
2021-02-19,23.2,29.6,17.7,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-15
2021-02-20,23.0,27.6,19.1,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-14
2021-02-21,23.0,29.7,16.3,59,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-13
2021-02-22,23.2,30.5,15.9,58,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-12
2021-02-23,23.4,31.1,16.3,62,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-11
2021-02-24,24.0,31.2,17.3,66,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-10
2021-02-25,25.2,32.5,17.5,55,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-9
2021-02-26,26.5,34.1,19.6,52,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-8
2021-02-27,26.1,34.0,18.2,50,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-7
2021-02-28,27.3,35.1,20.6,54,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-6
2021-03-01,27.3,35.1,22.2,64,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-5
2021-03-02,26.5,33.4,19.9,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-4
2021-03-03,26.5,31.9,20.6,46,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-3
2021-03-04,24.9,33.1,17.3,52,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-2
2021-03-05,26.6,34.7,19.0,65,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,-1
2021-03-06,26.9,34.9,20.4,48,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2021-03-06,0
