date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-11,25.0,32.5,17.1,58,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-45
2022-03-12,25.1,32.9,18.2,56,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-44
2022-03-13,25.8,32.8,18.1,51,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-43
2022-03-14,25.8,33.7,18.9,55,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-42
2022-03-15,26.7,34.5,18.4,55,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-41
2022-03-16,28.1,36.6,20.4,57,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-40
2022-03-17,28.8,36.9,22.5,62,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-39
2022-03-18,28.4,36.5,22.1,60,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-38
2022-03-19,28.6,36.4,21.7,51,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-37
2022-03-20,29.0,37.2,22.5,60,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-36
2022-03-21,29.3,37.1,23.0,68,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-35
2022-03-22,29.5,37.4,24.0,68,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-34
2022-03-23,28.7,35.6,24.1,73,1.4,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-33
2022-03-24,29.5,37.9,24.0,68,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-32
2022-03-25,28.8,37.8,24.9,74,0.4,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-31
2022-03-26,29.8,36.8,25.8,72,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-30
2022-03-27,29.5,36.7,24.4,70,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-29
2022-03-28,30.0,37.5,25.2,69,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-28
2022-03-29,30.0,37.1,25.3,71,0.0,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-27
2022-03-30,29.7,35.4,25.9,73,0.3,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-26
2022-03-31,29.7,35.1,25.8,74,0.4,Hooghly,Acute Diarrhoeal Disease,22.9052114,88.3760639,2022-04-25,-25
