date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-03,24.7,31.7,18.3,66,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-45
2022-03-04,24.9,32.2,18.3,59,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-44
2022-03-05,25.5,33.6,19.3,65,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-43
2022-03-06,25.4,32.4,18.9,58,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-42
2022-03-07,24.8,31.9,18.7,56,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-41
2022-03-08,24.6,32.8,17.9,56,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-40
2022-03-09,25.5,33.1,17.6,50,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-39
2022-03-10,25.5,33.0,17.5,53,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-38
2022-03-11,25.8,33.1,17.7,57,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-37
2022-03-12,26.0,33.4,18.3,53,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-36
2022-03-13,25.9,33.5,18.2,49,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-35
2022-03-14,26.5,34.1,18.7,52,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-34
2022-03-15,26.7,35.4,18.6,54,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-33
2022-03-16,28.5,36.5,22.1,59,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-32
2022-03-17,28.7,37.0,22.8,64,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-31
2022-03-18,28.5,36.7,22.2,61,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-30
2022-03-19,28.5,36.5,22.0,53,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-29
2022-03-20,28.9,37.6,23.1,64,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-28
2022-03-21,29.4,36.8,23.4,68,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-27
2022-03-22,29.6,37.2,24.3,70,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-26
2022-03-23,28.8,36.0,24.1,74,1.5,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-25
2022-03-24,29.2,37.7,24.5,72,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-24
2022-03-25,28.9,36.6,25.1,77,6.5,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-23
2022-03-26,29.3,34.6,26.0,78,0.4,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-22
2022-03-27,29.2,35.7,24.7,74,0.2,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-21
2022-03-28,29.8,37.3,25.4,71,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-20
2022-03-29,29.5,35.8,25.4,76,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-19
2022-03-30,29.2,34.5,25.8,76,0.3,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-18
2022-03-31,29.4,34.0,26.0,76,0.4,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-17
2022-04-01,29.7,34.5,26.5,75,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-16
2022-04-02,29.7,34.3,26.4,73,0.1,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-15
2022-04-03,29.4,34.9,25.5,76,0.2,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-14
2022-04-04,29.4,33.9,26.5,74,0.1,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-13
2022-04-05,29.2,34.3,26.0,72,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-12
2022-04-06,29.1,34.4,25.4,74,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-11
2022-04-07,29.2,34.9,24.7,74,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-10
2022-04-08,29.6,35.3,25.0,72,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-9
2022-04-09,29.9,36.0,25.8,73,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-8
2022-04-10,29.9,35.1,26.2,75,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-7
2022-04-11,30.3,36.5,26.3,74,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-6
2022-04-12,30.5,36.5,26.1,73,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-5
2022-04-13,30.6,35.9,26.5,73,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-4
2022-04-14,31.0,37.6,26.9,73,8.2,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-3
2022-04-15,32.0,39.7,26.7,66,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-2
2022-04-16,31.2,38.1,27.3,72,0.3,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,-1
2022-04-17,30.6,36.4,26.7,72,0.0,Howrah,Cholera,22.5736296,88.3251045,2022-04-17,0
