date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-22,25.5,32.9,17.9,41,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-45
2022-02-23,24.7,32.2,18.3,56,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-44
2022-02-24,25.6,33.1,19.7,44,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-43
2022-02-25,25.9,33.7,19.1,37,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-42
2022-02-26,24.6,32.2,17.9,40,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-41
2022-02-27,25.0,32.4,18.9,42,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-40
2022-02-28,25.8,32.9,18.2,30,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-39
2022-03-01,26.7,33.6,19.4,27,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-38
2022-03-02,26.4,33.6,18.8,32,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-37
2022-03-03,26.5,33.1,19.2,31,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-36
2022-03-04,26.7,33.6,19.5,34,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-35
2022-03-05,26.8,34.3,20.4,35,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-34
2022-03-06,26.1,33.1,19.3,43,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-33
2022-03-07,26.4,33.3,19.4,43,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-32
2022-03-08,27.1,33.7,20.2,38,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-31
2022-03-09,27.8,34.9,20.6,34,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-30
2022-03-10,27.3,34.0,20.1,36,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-29
2022-03-11,27.9,34.3,21.4,38,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-28
2022-03-12,28.1,34.0,23.2,39,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-27
2022-03-13,28.1,35.2,21.1,37,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-26
2022-03-14,28.1,35.6,21.8,25,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-25
2022-03-15,28.3,36.6,17.4,26,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-24
2022-03-16,29.0,37.5,19.4,27,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-23
2022-03-17,29.6,38.6,21.1,25,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-22
2022-03-18,30.1,38.0,23.8,25,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-21
2022-03-19,29.5,35.5,22.0,38,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-20
2022-03-20,28.6,34.8,20.5,46,2.5,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-19
2022-03-21,30.3,36.9,24.2,39,0.2,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-18
2022-03-22,29.8,36.5,23.3,42,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-17
2022-03-23,30.1,37.0,23.0,35,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-16
2022-03-24,29.5,36.4,22.1,44,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-15
2022-03-25,29.9,36.9,22.1,47,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-14
2022-03-26,30.3,37.5,23.2,49,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-13
2022-03-27,30.8,37.9,23.0,44,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-12
2022-03-28,31.0,38.5,24.3,40,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-11
2022-03-29,31.2,38.8,23.5,32,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-10
2022-03-30,31.0,38.4,23.9,32,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-9
2022-03-31,31.1,38.2,23.6,34,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-8
2022-04-01,31.0,38.3,23.8,44,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-7
2022-04-02,30.8,37.4,23.6,50,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-6
2022-04-03,30.8,38.1,23.2,48,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-5
2022-04-04,31.4,37.3,25.2,41,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-4
2022-04-05,30.9,38.0,24.2,43,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-3
2022-04-06,30.9,37.5,23.8,42,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-2
2022-04-07,30.8,37.2,23.9,40,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,-1
2022-04-08,31.2,38.0,24.3,38,0.0,Hyderabad,Acute Diarrhoeal Disease,17.360589,78.4740613,2022-04-08,0
