date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-21,18.5,25.6,12.2,61,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-45
2020-12-22,19.2,26.2,12.9,64,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-44
2020-12-23,19.3,26.6,12.5,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-43
2020-12-24,19.6,26.8,12.7,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-42
2020-12-25,20.0,27.2,14.4,65,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-41
2020-12-26,19.6,26.3,14.2,63,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-40
2020-12-27,19.3,26.6,13.4,64,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-39
2020-12-28,19.7,27.0,12.8,69,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-38
2020-12-29,20.4,27.9,14.0,70,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-37
2020-12-30,20.5,27.2,14.9,66,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-36
2020-12-31,20.4,26.9,14.4,65,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-35
2021-01-01,20.5,26.9,15.5,65,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-34
2021-01-02,19.8,27.0,14.0,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-33
2021-01-03,19.9,27.7,13.2,64,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-32
2021-01-04,20.6,28.5,14.3,63,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-31
2021-01-05,21.0,28.2,15.0,68,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-30
2021-01-06,22.6,30.7,16.0,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-29
2021-01-07,24.0,31.9,18.2,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-28
2021-01-08,24.3,31.0,18.8,65,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-27
2021-01-09,24.4,31.2,18.7,68,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-26
2021-01-10,24.8,31.8,19.6,74,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-25
2021-01-11,24.8,31.3,19.8,76,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-24
2021-01-12,24.4,29.8,20.7,74,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-23
2021-01-13,23.0,27.9,20.4,80,0.3,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-22
2021-01-14,22.1,27.1,19.2,78,0.1,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-21
2021-01-15,21.2,27.4,17.4,74,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-20
2021-01-16,20.6,27.0,15.4,77,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-19
2021-01-17,20.4,26.2,16.0,77,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-18
2021-01-18,20.6,26.8,15.4,75,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-17
2021-01-19,22.3,29.0,15.7,75,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-16
2021-01-20,24.7,30.9,19.6,71,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-15
2021-01-21,23.2,28.5,18.8,59,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-14
2021-01-22,21.4,28.3,15.7,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-13
2021-01-23,21.3,28.5,16.1,74,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-12
2021-01-24,23.0,29.6,18.2,80,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-11
2021-01-25,24.5,30.1,20.6,80,0.5,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-10
2021-01-26,22.8,27.4,19.8,80,0.3,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-9
2021-01-27,21.5,27.1,17.9,72,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-8
2021-01-28,20.6,26.7,16.1,67,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-7
2021-01-29,21.3,28.2,14.8,66,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-6
2021-01-30,20.9,25.4,17.4,74,0.8,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-5
2021-01-31,19.8,25.9,15.8,64,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-4
2021-02-01,19.2,26.1,13.9,58,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-3
2021-02-02,19.5,27.2,12.9,60,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-2
2021-02-03,19.9,28.0,13.1,61,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,-1
2021-02-04,20.5,28.2,14.4,56,0.0,Jajpur,Acute Diarrhoeal Disease,20.8522696,86.3385714,2021-02-04,0
