date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-08,34.2,42.5,25.2,18,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-45
2022-04-09,34.5,42.4,27.2,20,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-44
2022-04-10,33.7,41.4,25.2,27,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-43
2022-04-11,33.8,41.7,25.8,27,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-42
2022-04-12,34.2,41.8,27.0,27,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-41
2022-04-13,34.7,42.1,26.9,21,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-40
2022-04-14,34.5,42.0,26.5,17,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-39
2022-04-15,33.6,41.6,24.4,18,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-38
2022-04-16,33.3,41.4,24.1,25,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-37
2022-04-17,33.6,41.7,25.4,24,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-36
2022-04-18,33.9,42.0,25.8,27,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-35
2022-04-19,34.3,42.2,25.9,25,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-34
2022-04-20,35.3,42.2,27.3,22,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-33
2022-04-21,34.3,40.2,29.3,24,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-32
2022-04-22,34.4,41.5,27.4,23,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-31
2022-04-23,35.3,42.1,26.7,18,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-30
2022-04-24,35.7,42.3,29.4,16,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-29
2022-04-25,35.1,42.6,27.3,20,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-28
2022-04-26,35.6,43.3,26.9,17,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-27
2022-04-27,35.4,43.5,27.0,16,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-26
2022-04-28,36.1,44.5,27.0,14,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-25
2022-04-29,36.3,43.1,28.6,18,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-24
2022-04-30,35.7,43.5,27.7,23,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-23
2022-05-01,35.0,42.5,27.6,27,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-22
2022-05-02,34.8,41.9,27.4,30,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-21
2022-05-03,34.5,41.7,27.7,34,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-20
2022-05-04,34.2,41.6,26.7,33,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-19
2022-05-05,34.5,41.5,26.7,30,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-18
2022-05-06,34.8,41.8,27.7,26,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-17
2022-05-07,35.5,43.0,28.0,25,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-16
2022-05-08,36.4,43.0,28.6,20,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-15
2022-05-09,36.9,44.8,28.8,22,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-14
2022-05-10,36.9,44.3,30.2,24,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-13
2022-05-11,36.5,43.7,28.9,28,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-12
2022-05-12,36.0,43.2,28.9,33,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-11
2022-05-13,35.5,43.3,28.1,37,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-10
2022-05-14,34.7,42.2,27.4,38,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-9
2022-05-15,35.4,43.2,27.9,35,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-8
2022-05-16,35.1,42.7,27.5,35,0.0,Jalgaon,Chikungunya,20.84288265,75.52612464,2022-05-23,-7
