date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-24,26.1,33.4,20.4,59,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-45
2022-03-25,25.8,33.0,19.9,58,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-44
2022-03-26,25.4,32.6,18.0,59,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-43
2022-03-27,24.4,30.4,18.9,75,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-42
2022-03-28,24.5,29.7,20.6,77,0.2,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-41
2022-03-29,23.0,26.8,20.4,86,12.3,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-40
2022-03-30,23.8,28.2,21.3,81,2.8,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-39
2022-03-31,23.5,27.4,21.0,83,0.6,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-38
2022-04-01,24.1,28.2,21.2,87,9.2,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-37
2022-04-02,23.9,27.3,21.9,85,1.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-36
2022-04-03,24.0,28.5,20.6,84,13.5,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-35
2022-04-04,24.3,29.4,20.6,87,86.9,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-34
2022-04-05,24.2,29.3,20.6,87,29.5,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-33
2022-04-06,24.1,28.0,21.6,86,3.6,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-32
2022-04-07,24.1,28.9,21.2,83,1.9,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-31
2022-04-08,23.9,28.1,20.8,81,0.1,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-30
2022-04-09,23.4,27.2,20.5,79,6.8,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-29
2022-04-10,22.5,26.0,20.3,85,6.1,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-28
2022-04-11,23.5,27.9,19.9,81,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-27
2022-04-12,25.2,29.4,21.6,81,0.6,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-26
2022-04-13,25.1,29.5,22.0,88,6.1,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-25
2022-04-14,25.4,30.9,21.8,87,8.9,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-24
2022-04-15,26.7,32.7,21.2,78,0.2,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-23
2022-04-16,25.9,30.9,21.1,83,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-22
2022-04-17,25.4,31.2,21.7,84,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-21
2022-04-18,24.7,29.1,20.2,81,0.2,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-20
2022-04-19,25.0,30.0,20.9,79,2.7,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-19
2022-04-20,23.6,26.9,20.7,84,20.5,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-18
2022-04-21,24.9,30.2,20.8,81,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-17
2022-04-22,24.7,29.3,21.3,85,4.6,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-16
2022-04-23,25.5,30.7,20.9,82,2.2,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-15
2022-04-24,26.6,33.0,21.0,77,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-14
2022-04-25,26.9,33.0,21.8,77,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-13
2022-04-26,26.7,31.7,23.0,80,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-12
2022-04-27,25.8,30.7,21.3,80,0.4,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-11
2022-04-28,26.1,30.9,21.5,78,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-10
2022-04-29,25.4,28.9,22.3,82,1.8,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-9
2022-04-30,23.0,26.9,20.9,85,11.8,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-8
2022-05-01,24.4,29.1,20.4,79,0.4,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-7
2022-05-02,24.4,28.8,21.3,81,6.7,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-6
2022-05-03,24.6,29.9,21.0,84,1.3,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-5
2022-05-04,24.5,28.5,20.9,80,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-4
2022-05-05,25.7,29.9,21.2,77,0.1,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-3
2022-05-06,26.2,30.6,22.7,77,1.3,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-2
2022-05-07,25.1,30.3,21.7,87,22.3,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,-1
2022-05-08,27.4,32.2,23.0,76,0.0,Jalpaiguri,Dengue,26.4733048,88.67886686,2022-05-08,0
