date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-23,29.3,37.5,20.9,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-45
2022-03-24,29.1,37.8,21.4,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-44
2022-03-25,29.8,36.9,22.3,39,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-43
2022-03-26,30.8,38.4,24.0,39,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-42
2022-03-27,29.2,37.3,22.1,32,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-41
2022-03-28,28.7,38.1,19.8,33,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-40
2022-03-29,29.8,39.4,20.2,32,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-39
2022-03-30,30.3,39.5,21.1,28,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-38
2022-03-31,30.5,39.7,21.1,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-37
2022-04-01,31.2,40.2,23.3,28,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-36
2022-04-02,31.6,40.0,23.2,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-35
2022-04-03,31.6,39.5,24.5,27,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-34
2022-04-04,31.2,40.2,21.7,30,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-33
2022-04-05,31.4,40.3,23.1,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-32
2022-04-06,31.5,39.9,23.1,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-31
2022-04-07,31.4,39.7,22.4,30,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-30
2022-04-08,32.6,40.9,24.4,32,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-29
2022-04-09,32.7,40.3,26.3,34,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-28
2022-04-10,33.8,40.7,27.4,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-27
2022-04-11,33.9,40.7,27.8,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-26
2022-04-12,34.1,40.9,28.5,30,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-25
2022-04-13,34.3,41.6,26.7,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-24
2022-04-14,34.1,40.0,30.6,32,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-23
2022-04-15,34.1,40.8,27.0,31,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-22
2022-04-16,33.6,41.0,27.7,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-21
2022-04-17,33.5,41.3,24.9,30,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-20
2022-04-18,33.8,40.8,27.1,27,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-19
2022-04-19,35.2,42.5,25.3,24,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-18
2022-04-20,34.8,42.1,27.6,23,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-17
2022-04-21,33.8,41.1,27.2,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-16
2022-04-22,32.7,38.6,26.8,35,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-15
2022-04-23,33.4,39.7,26.5,36,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-14
2022-04-24,34.3,40.9,28.0,33,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-13
2022-04-25,33.2,41.6,24.2,30,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-12
2022-04-26,33.4,41.8,24.3,24,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-11
2022-04-27,34.2,42.5,25.5,24,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-10
2022-04-28,34.1,42.7,24.4,24,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-9
2022-04-29,35.0,43.4,25.7,23,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-8
2022-04-30,35.7,43.7,27.6,18,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-7
2022-05-01,34.7,42.2,26.4,20,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-6
2022-05-02,34.7,41.9,27.4,26,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-5
2022-05-03,34.8,42.3,26.3,29,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-4
2022-05-04,34.3,41.9,27.0,34,0.0,Janjgir Champa,Acute Diarrhoeal Disease,21.9671264,82.66472425,2022-05-07,-3
