date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-23,31.8,39.5,23.8,27,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-45
2022-04-24,32.2,40.0,24.3,20,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-44
2022-04-25,31.9,41.3,22.7,17,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-43
2022-04-26,32.4,41.8,22.4,16,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-42
2022-04-27,32.3,41.7,22.9,18,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-41
2022-04-28,32.3,41.5,23.4,18,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-40
2022-04-29,33.1,41.4,25.4,18,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-39
2022-04-30,33.1,42.3,23.9,19,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-38
2022-05-01,31.7,39.5,24.3,37,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-37
2022-05-02,31.2,38.9,24.1,42,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-36
2022-05-03,31.6,40.1,24.1,39,0.1,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-35
2022-05-04,31.1,39.7,23.3,40,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-34
2022-05-05,31.4,37.9,24.5,39,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-33
2022-05-06,30.6,38.1,23.7,41,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-32
2022-05-07,30.9,38.6,23.3,30,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-31
2022-05-08,31.2,39.3,24.1,33,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-30
2022-05-09,30.6,37.7,23.8,48,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-29
2022-05-10,29.4,34.5,24.8,59,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-28
2022-05-11,29.2,34.7,25.4,65,1.9,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-27
2022-05-12,31.3,38.0,25.4,54,0.3,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-26
2022-05-13,32.4,39.7,25.6,49,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-25
2022-05-14,33.6,41.0,26.5,39,0.0,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-24
2022-05-15,31.7,41.0,25.7,54,0.6,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-23
2022-05-16,31.6,39.9,24.2,48,0.4,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-22
2022-05-17,31.7,37.0,27.6,50,1.8,Jashpur,Acute Diarrhoeal Disease,22.76678355,83.95304519,2022-06-07,-21
