date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-22,32.0,40.5,23.5,42,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-45
2022-04-23,33.1,41.3,25.4,26,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-44
2022-04-24,32.5,41.6,25.4,29,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-43
2022-04-25,32.1,40.6,24.2,35,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-42
2022-04-26,31.4,41.2,23.0,45,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-41
2022-04-27,32.3,42.2,23.4,45,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-40
2022-04-28,33.3,42.6,25.2,34,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-39
2022-04-29,32.3,42.0,24.9,41,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-38
2022-04-30,31.7,40.9,25.5,57,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-37
2022-05-01,31.6,40.4,25.2,62,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-36
2022-05-02,31.6,39.8,26.0,60,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-35
2022-05-03,30.3,38.6,25.0,66,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-34
2022-05-04,30.6,38.7,24.7,65,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-33
2022-05-05,30.8,38.9,25.5,64,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-32
2022-05-06,30.8,39.7,24.6,59,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-31
2022-05-07,31.1,40.7,23.1,54,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-30
2022-05-08,30.7,41.3,23.7,62,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-29
2022-05-09,30.8,40.6,24.1,64,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-28
2022-05-10,31.0,40.5,24.8,66,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-27
2022-05-11,31.7,42.1,25.1,63,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-26
2022-05-12,31.8,42.6,24.8,56,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-25
2022-05-13,31.2,40.1,25.5,65,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-24
2022-05-14,31.0,39.4,25.6,68,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-23
2022-05-15,30.8,38.8,25.7,70,0.0,Junagadh,Acute Diarrhoeal Disease,21.5174104,70.4642754,2022-06-06,-22
