date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-23,31.9,38.8,25.3,31,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-45
2022-03-24,32.4,37.7,26.8,33,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-44
2022-03-25,32.1,37.5,26.4,38,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-43
2022-03-26,32.8,37.9,27.2,36,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-42
2022-03-27,32.7,38.4,26.2,33,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-41
2022-03-28,32.9,39.8,26.5,31,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-40
2022-03-29,32.6,40.0,25.1,27,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-39
2022-03-30,32.1,40.2,23.4,22,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-38
2022-03-31,32.4,40.3,24.4,21,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-37
2022-04-01,32.4,40.0,24.6,24,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-36
2022-04-02,33.0,39.7,26.7,38,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-35
2022-04-03,33.2,39.5,27.2,34,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-34
2022-04-04,33.2,39.0,26.9,34,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-33
2022-04-05,33.4,39.2,27.2,34,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-32
2022-04-06,33.1,39.1,26.4,29,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-31
2022-04-07,33.5,39.8,26.7,30,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-30
2022-04-08,32.7,38.3,26.3,32,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-29
2022-04-09,32.6,38.6,26.4,36,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-28
2022-04-10,32.7,38.9,27.6,37,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-27
2022-04-11,32.7,38.6,26.7,36,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-26
2022-04-12,33.0,40.0,26.5,34,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-25
2022-04-13,32.4,38.8,26.6,32,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-24
2022-04-14,33.2,38.1,27.7,38,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-23
2022-04-15,32.1,38.9,28.0,41,0.9,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-22
2022-04-16,32.4,39.0,26.1,39,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-21
2022-04-17,32.4,39.0,27.0,40,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-20
2022-04-18,33.2,39.6,26.8,33,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-19
2022-04-19,33.8,40.3,26.3,30,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-18
2022-04-20,34.0,41.3,27.3,28,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-17
2022-04-21,34.1,40.5,28.3,32,0.2,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-16
2022-04-22,32.3,38.0,27.9,42,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-15
2022-04-23,31.4,38.1,26.1,47,1.3,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-14
2022-04-24,31.6,38.2,24.7,44,1.2,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-13
2022-04-25,33.1,39.5,25.8,35,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-12
2022-04-26,33.0,39.3,26.1,35,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-11
2022-04-27,33.3,38.9,27.5,35,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-10
2022-04-28,33.6,39.4,27.9,33,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-9
2022-04-29,33.4,40.7,26.9,36,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-8
2022-04-30,34.0,42.1,27.2,26,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-7
2022-05-01,33.7,40.7,27.0,24,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-6
2022-05-02,33.7,40.0,28.4,32,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-5
2022-05-03,34.7,40.5,28.5,30,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-4
2022-05-04,33.8,39.6,29.6,38,0.3,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-3
2022-05-05,33.5,38.9,27.9,38,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-2
2022-05-06,34.0,39.7,27.8,31,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,-1
2022-05-07,33.8,40.6,28.1,30,0.0,Kalaburagi,Cholera,17.166667,77.083333,2022-05-07,0
