date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-17,32.4,39.0,27.0,40,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-45
2022-04-18,33.2,39.6,26.8,33,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-44
2022-04-19,33.8,40.3,26.3,30,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-43
2022-04-20,34.0,41.3,27.3,28,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-42
2022-04-21,34.1,40.5,28.3,32,0.2,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-41
2022-04-22,32.3,38.0,27.9,42,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-40
2022-04-23,31.4,38.1,26.1,47,1.3,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-39
2022-04-24,31.6,38.2,24.7,44,1.2,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-38
2022-04-25,33.1,39.5,25.8,35,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-37
2022-04-26,33.0,39.3,26.1,35,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-36
2022-04-27,33.3,38.9,27.5,35,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-35
2022-04-28,33.6,39.4,27.9,33,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-34
2022-04-29,33.4,40.7,26.9,36,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-33
2022-04-30,34.0,42.1,27.2,26,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-32
2022-05-01,33.7,40.7,27.0,24,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-31
2022-05-02,33.7,40.0,28.4,32,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-30
2022-05-03,34.7,40.5,28.5,30,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-29
2022-05-04,33.8,39.6,29.6,38,0.3,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-28
2022-05-05,33.5,38.9,27.9,38,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-27
2022-05-06,34.0,39.7,27.8,31,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-26
2022-05-07,33.8,40.6,28.1,30,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-25
2022-05-08,34.2,40.2,28.2,28,0.0,Kalaburagi,Acute Diarrhoeal Disease,17.166667,77.083333,2022-06-01,-24
