date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-02-08,21.9,27.2,17.4,34,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-45
2021-02-09,22.3,28.3,16.3,32,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-44
2021-02-10,23.1,29.6,16.3,29,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-43
2021-02-11,23.0,30.0,16.1,37,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-42
2021-02-12,23.4,29.9,17.0,47,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-41
2021-02-13,23.7,30.2,17.3,38,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-40
2021-02-14,24.5,30.3,19.0,42,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-39
2021-02-15,24.8,30.9,18.9,43,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-38
2021-02-16,25.1,31.1,18.7,42,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-37
2021-02-17,23.0,29.0,18.0,52,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-36
2021-02-18,21.5,28.0,17.2,67,3.9,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-35
2021-02-19,22.0,28.8,17.2,66,1.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-34
2021-02-20,22.0,26.5,18.8,67,0.7,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-33
2021-02-21,22.5,27.9,16.1,57,0.2,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-32
2021-02-22,23.9,29.5,17.4,47,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-31
2021-02-23,24.9,30.3,18.6,39,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-30
2021-02-24,25.5,30.9,18.7,33,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-29
2021-02-25,27.0,32.2,21.9,30,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-28
2021-02-26,27.7,33.6,20.1,30,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-27
2021-02-27,27.8,33.1,21.9,33,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-26
2021-02-28,28.1,33.6,22.8,28,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-25
2021-03-01,27.4,34.3,20.9,35,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-24
2021-03-02,28.3,33.3,24.4,32,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-23
2021-03-03,26.4,31.8,20.8,31,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-22
2021-03-04,26.6,32.9,19.9,31,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-21
2021-03-05,27.7,34.0,20.5,27,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-20
2021-03-06,28.0,33.6,22.8,27,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-19
2021-03-07,27.9,33.3,22.8,23,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-18
2021-03-08,27.2,34.4,20.2,35,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-17
2021-03-09,28.4,34.6,22.7,36,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-16
2021-03-10,28.7,33.7,25.0,36,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-15
2021-03-11,28.7,34.0,24.3,35,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-14
2021-03-12,28.7,34.1,23.3,35,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-13
2021-03-13,26.6,31.3,21.9,49,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-12
2021-03-14,27.0,33.0,20.6,48,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-11
2021-03-15,27.6,33.7,20.4,45,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-10
2021-03-16,28.4,34.7,21.7,36,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-9
2021-03-17,28.4,34.1,21.7,39,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-8
2021-03-18,28.8,33.4,23.8,38,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-7
2021-03-19,29.1,34.1,25.0,38,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-6
2021-03-20,27.9,32.7,22.2,42,0.1,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-5
2021-03-21,29.2,34.5,22.6,36,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-4
2021-03-22,30.0,35.9,23.3,33,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-3
2021-03-23,29.7,34.9,25.6,38,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-2
2021-03-24,28.9,35.1,23.2,41,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,-1
2021-03-25,30.3,35.1,24.3,33,0.0,Kalahandi,Acute Diarrhoeal Disease,19.75,83.0,2021-03-25,0
