date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-15,30.1,35.8,24.7,65,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-45
2022-04-16,31.4,37.4,26.1,59,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-44
2022-04-17,30.5,37.4,25.5,59,3.4,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-43
2022-04-18,30.6,36.2,24.8,58,0.2,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-42
2022-04-19,31.4,38.0,26.2,58,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-41
2022-04-20,31.5,38.5,25.7,61,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-40
2022-04-21,30.8,38.2,25.5,62,0.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-39
2022-04-22,30.5,36.9,25.2,62,0.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-38
2022-04-23,30.5,36.6,25.8,62,0.4,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-37
2022-04-24,31.7,37.9,26.8,54,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-36
2022-04-25,31.6,38.9,25.4,56,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-35
2022-04-26,31.7,38.7,25.7,56,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-34
2022-04-27,31.6,38.5,25.6,57,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-33
2022-04-28,31.8,39.1,25.7,57,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-32
2022-04-29,33.0,40.3,26.6,53,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-31
2022-04-30,33.0,40.4,26.4,53,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-30
2022-05-01,33.3,40.8,27.2,50,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-29
2022-05-02,33.2,40.4,26.5,47,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-28
2022-05-03,32.9,39.4,27.9,56,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-27
2022-05-04,32.1,38.5,27.8,59,0.8,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-26
2022-05-05,30.8,36.8,25.7,64,3.7,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-25
2022-05-06,32.2,37.8,26.9,57,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-24
2022-05-07,32.2,38.9,27.4,53,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-23
2022-05-08,32.5,39.3,26.8,52,0.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-22
2022-05-09,31.9,36.9,27.1,55,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-21
2022-05-10,30.9,33.9,28.2,58,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-20
2022-05-11,30.0,32.5,27.6,60,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-19
2022-05-12,28.6,34.0,24.8,65,7.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-18
2022-05-13,28.3,33.5,24.1,75,10.2,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-17
2022-05-14,28.0,33.2,24.2,81,31.6,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-16
2022-05-15,27.6,33.1,24.2,83,21.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-15
2022-05-16,27.7,31.5,24.8,84,6.8,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-14
2022-05-17,28.5,32.9,24.4,77,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-13
2022-05-18,28.7,32.5,25.9,74,1.3,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-12
2022-05-19,28.6,33.1,25.1,67,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-11
2022-05-20,29.0,34.2,24.5,66,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-10
2022-05-21,29.1,34.3,24.5,69,1.9,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-9
2022-05-22,29.5,35.3,25.6,67,0.8,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-8
2022-05-23,30.0,36.6,24.1,63,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-7
2022-05-24,30.9,36.5,25.6,62,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-6
2022-05-25,30.9,35.4,25.9,63,0.8,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-5
2022-05-26,30.6,35.9,26.4,62,0.6,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-4
2022-05-27,29.6,36.1,24.8,66,0.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-3
2022-05-28,29.8,36.1,24.9,64,4.4,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-2
2022-05-29,30.0,36.7,25.4,61,4.1,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,-1
2022-05-30,29.8,35.5,25.2,64,0.0,Kallakurichi,Acute Diarrhoeal Disease,11.7406259,78.9637131,2022-05-30,0
