date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-04,24.2,32.0,16.7,46,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-45
2022-03-05,24.2,32.2,16.6,44,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-44
2022-03-06,24.1,31.8,17.2,35,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-43
2022-03-07,23.4,31.8,15.3,40,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-42
2022-03-08,23.7,31.8,15.3,44,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-41
2022-03-09,24.9,32.2,17.4,34,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-40
2022-03-10,25.6,33.1,18.8,32,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-39
2022-03-11,24.5,32.9,16.0,41,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-38
2022-03-12,25.0,32.6,17.4,42,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-37
2022-03-13,25.6,32.9,19.5,32,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-36
2022-03-14,26.6,33.3,20.7,24,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-35
2022-03-15,26.2,34.5,17.0,30,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-34
2022-03-16,28.3,35.6,22.2,28,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-33
2022-03-17,28.4,36.5,20.9,35,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-32
2022-03-18,28.0,35.4,22.3,38,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-31
2022-03-19,28.1,35.5,22.0,28,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-30
2022-03-20,28.2,35.5,20.8,35,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-29
2022-03-21,28.3,35.0,23.1,43,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-28
2022-03-22,28.1,35.5,20.0,45,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-27
2022-03-23,28.8,36.6,22.3,46,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-26
2022-03-24,28.8,37.2,20.7,47,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-25
2022-03-25,29.1,36.3,22.5,43,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-24
2022-03-26,28.8,34.9,22.1,52,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-23
2022-03-27,29.2,36.4,23.2,40,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-22
2022-03-28,29.1,37.5,20.9,24,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-21
2022-03-29,29.3,37.6,18.9,36,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-20
2022-03-30,29.9,38.3,20.8,40,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-19
2022-03-31,30.0,38.5,21.8,46,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-18
2022-04-01,30.6,38.8,23.9,45,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-17
2022-04-02,30.9,37.8,24.2,43,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-16
2022-04-03,30.6,38.6,23.4,44,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-15
2022-04-04,29.9,37.8,23.3,49,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-14
2022-04-05,29.6,36.3,23.1,54,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-13
2022-04-06,29.8,36.5,23.5,50,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-12
2022-04-07,30.2,37.4,23.5,46,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-11
2022-04-08,30.3,36.1,24.1,38,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-10
2022-04-09,30.5,37.6,23.5,42,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-9
2022-04-10,30.4,37.7,23.2,49,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-8
2022-04-11,30.6,37.9,24.1,47,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-7
2022-04-12,31.0,37.7,24.0,46,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-6
2022-04-13,31.3,38.4,24.4,45,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-5
2022-04-14,31.5,38.2,25.6,41,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-4
2022-04-15,31.2,38.1,25.4,45,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-3
2022-04-16,29.6,36.7,25.5,50,1.8,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-2
2022-04-17,31.1,38.2,23.8,40,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,-1
2022-04-18,31.6,38.4,24.2,36,0.0,Kandhamal,Acute Diarrhoeal Disease,20.13069385,84.07904761,2022-04-18,0
