date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-11,19.2,27.2,12.7,73,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-45
2022-03-12,19.7,28.3,12.9,73,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-44
2022-03-13,22.1,29.3,15.5,75,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-43
2022-03-14,22.5,30.3,15.2,79,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-42
2022-03-15,23.7,31.4,17.5,77,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-41
2022-03-16,24.8,33.1,17.2,61,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-40
2022-03-17,24.0,31.8,17.2,69,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-39
2022-03-18,26.2,33.0,21.3,76,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-38
2022-03-19,26.2,33.3,20.6,72,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-37
2022-03-20,25.6,33.3,20.0,67,0.4,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-36
2022-03-21,24.3,32.2,17.7,67,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-35
2022-03-22,23.6,32.0,16.1,58,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-34
2022-03-23,24.5,32.3,17.4,57,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-33
2022-03-24,24.3,31.4,17.7,60,0.4,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-32
2022-03-25,23.6,31.4,16.2,51,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-31
2022-03-26,23.5,31.6,16.0,50,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-30
2022-03-27,24.2,33.0,16.1,55,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-29
2022-03-28,25.5,34.0,17.4,61,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-28
2022-03-29,25.0,34.4,16.4,66,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-27
2022-03-30,25.9,34.5,17.8,59,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-26
2022-03-31,25.4,33.7,18.9,54,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-25
2022-04-01,24.6,32.4,15.8,43,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-24
2022-04-02,25.4,34.2,15.9,47,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-23
2022-04-03,25.3,34.9,18.2,42,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-22
2022-04-04,26.1,34.8,16.7,43,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-21
2022-04-05,26.5,34.9,17.6,46,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-20
2022-04-06,27.8,35.5,18.3,44,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-19
2022-04-07,27.7,36.9,20.3,47,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-18
2022-04-08,27.7,37.5,18.0,53,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-17
2022-04-09,27.8,37.6,18.9,47,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-16
2022-04-10,28.9,38.0,20.0,45,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-15
2022-04-11,29.2,39.0,20.1,45,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-14
2022-04-12,29.5,37.6,22.7,34,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-13
2022-04-13,28.8,37.5,21.2,36,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-12
2022-04-14,27.7,36.4,20.5,35,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-11
2022-04-15,26.8,34.4,20.1,39,0.3,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-10
2022-04-16,27.8,36.0,19.0,38,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-9
2022-04-17,28.1,37.1,19.8,37,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-8
2022-04-18,29.3,38.7,20.5,39,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-7
2022-04-19,29.7,39.2,22.2,37,0.3,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-6
2022-04-20,29.6,38.6,22.0,35,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-5
2022-04-21,28.8,36.7,24.0,31,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-4
2022-04-22,27.8,35.3,19.8,36,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-3
2022-04-23,27.8,35.7,19.7,36,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-2
2022-04-24,28.0,36.5,20.0,36,0.0,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,-1
2022-04-25,29.0,37.1,20.8,33,0.1,Kapurthala,Acute Diarrhoeal Disease,31.38524095,75.30552274,2022-04-25,0
