date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-11,27.4,30.4,24.5,82,16.4,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-45
2022-04-12,27.8,30.5,24.5,81,6.7,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-44
2022-04-13,27.3,29.8,24.6,85,6.2,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-43
2022-04-14,28.3,31.8,24.8,77,1.3,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-42
2022-04-15,29.6,34.0,25.3,74,0.2,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-41
2022-04-16,30.3,34.3,27.1,74,0.1,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-40
2022-04-17,29.8,33.7,27.1,75,1.4,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-39
2022-04-18,29.7,33.8,26.2,75,1.6,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-38
2022-04-19,29.8,33.6,27.1,77,0.0,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-37
2022-04-20,29.2,32.4,26.5,80,0.4,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-36
2022-04-21,29.3,31.9,27.4,76,0.2,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-35
2022-04-22,28.7,31.1,26.0,77,1.4,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-34
2022-04-23,29.0,32.7,25.4,76,0.8,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-33
2022-04-24,29.3,33.2,25.9,74,0.0,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-32
2022-04-25,29.6,33.7,26.4,76,0.0,Karaikal,Acute Diarrhoeal Disease,10.91571,79.8375761,2022-05-26,-31
